index_seg,MONTH,YEAR,MOTOR VEHICLE THEFT,ROBBERY,ASSAULT W/DANGEROUS WEAPON,THEFT/OTHER,THEFT F/AUTO,BURGLARY,ARSON,SEX ABUSE,HOMICIDE
4917,4.0,2014.0,,,,,1.0,,,,
1701,12.0,2014.0,1.0,,,,1.0,,,,
6801,11.0,2014.0,1.0,,,1.0,1.0,,,,
6253,11.0,2015.0,1.0,1.0,1.0,,1.0,1.0,,,
10614,11.0,2014.0,,1.0,,,1.0,,,,
6732,2.0,2014.0,,,1.0,,,,,,
7263,7.0,2014.0,,,1.0,,,,,,
1257,9.0,2014.0,1.0,,,,1.0,,,,
11440,5.0,2014.0,,,,,1.0,,,,
8903,5.0,2015.0,,1.0,,,,,,,
12485,10.0,2015.0,,1.0,,,1.0,,,,
11533,11.0,2016.0,,1.0,,1.0,1.0,1.0,,,
7022,12.0,2015.0,1.0,1.0,1.0,1.0,2.0,1.0,,,
7293,8.0,2015.0,1.0,,,1.0,1.0,,,,
4141,12.0,2016.0,,,,1.0,1.0,,,,
6126,12.0,2015.0,1.0,1.0,,2.0,1.0,1.0,,1.0,
3981,11.0,2015.0,,,,,1.0,,,,
6089,12.0,2014.0,1.0,,,1.0,2.0,4.0,,,
2666,12.0,2016.0,1.0,1.0,2.0,1.0,1.0,,,,
4679,12.0,2015.0,,1.0,1.0,1.0,1.0,1.0,,,
11513,12.0,2015.0,1.0,1.0,,2.0,,,,,
3170,6.0,2015.0,,,1.0,,1.0,1.0,,,
5591,11.0,2014.0,1.0,,,1.0,,,,,
2270,12.0,2016.0,1.0,2.0,1.0,2.0,3.0,,,,
6814,11.0,2014.0,1.0,,1.0,1.0,1.0,1.0,,,
7097,12.0,2014.0,,,,1.0,1.0,1.0,,1.0,
891,12.0,2016.0,1.0,1.0,,3.0,2.0,,,,
7910,10.0,2016.0,,,,1.0,,1.0,,1.0,
4748,12.0,2015.0,,,,,1.0,1.0,,,
7778,10.0,2016.0,,,,1.0,1.0,1.0,,,
7000,8.0,2014.0,1.0,,,,,,,,
6827,7.0,2014.0,,,,,1.0,,,,
8283,11.0,2016.0,,,,1.0,1.0,,,,
7382,5.0,2014.0,,,,,1.0,,,,
7729,8.0,2014.0,,,,,1.0,,,,
8649,10.0,2016.0,,1.0,,1.0,1.0,,,,
