index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total
325,7.0,3.0,25.0,0.0,1.0,112.0,160.36049058256683,26.0
326,10.0,3.0,17.0,0.0,2.0,135.0,22.0,45.0
327,10.0,5.0,42.0,0.0,5.0,111.0,5.0,1.0
328,41.0,17.0,116.0,89.0,1.0,26.0,5.0,1166.0
329,47.0,12.0,170.0,158.0,3.0,92.0,160.36049058256683,4413.0
330,42.0,10.0,404.0,392.0,2.0,109.0,9.0,6600.0
331,37.0,6.0,72.0,56.0,3.0,95.0,11.0,603.3206537460227
332,35.0,17.0,156.0,125.0,4.0,167.0,13.0,3991.0
333,42.0,26.0,181.0,139.0,1.0,215.0,57.0,3440.0
334,33.0,18.0,148.0,123.0,5.0,201.0,20.0,5192.0
335,56.0,54.0,280.0,209.0,6.0,436.0,52.0,10971.0
336,46.0,31.0,608.0,515.0,1.0,368.0,26.0,2164.0
337,43.0,31.0,248.0,206.0,0.0,423.0,162.0,174.0
338,30.0,34.0,48.0,20.0,0.0,353.0,2.0,995.0
339,19.0,84.0,141.0,78.0,3.0,331.0,52.0,7.0
340,15.0,29.0,73.0,18.0,3.0,267.0,1.0,2989.0
341,12.0,18.0,51.0,7.0,0.0,274.0,39.0,1887.0
342,17.0,18.0,26.0,6.0,2.0,257.0,24.0,447.0
343,12.0,9.0,56.0,12.0,2.0,156.0,5.0,720.0
344,8.0,6.0,51.0,14.0,0.0,198.0,39.0,1203.0
345,9.0,6.0,59.0,3.0,0.0,258.0,10.0,747.0
346,11.0,8.0,43.0,0.0,1.0,270.0,8.0,925.0
347,14.0,10.0,48.0,0.0,0.0,192.0,10.0,1.0
348,9.0,9.0,54.0,2.0,0.0,304.0,6.0,7059.0
349,7.0,19.0,46.0,3.0,6.0,443.0,4.0,333.0
350,3.0,18.0,33.0,3.0,3.0,308.0,35.0,880.0
351,3.0,1.0,43.0,2.0,0.0,303.0,4.0,40.0
352,6.0,6.0,66.0,56.0,0.0,144.0,160.36049058256683,2067.0
353,9.0,3.0,44.0,39.0,0.0,160.0,160.36049058256683,1910.0
354,10.0,6.0,78.0,70.0,0.0,201.0,2.0,2189.0
355,20.0,4.0,97.0,86.0,0.0,221.0,2.0,2882.0
356,9.0,7.719370860927152,37.0,36.0,0.0,240.0,160.36049058256683,603.3206537460227
357,2.0,1.0,6.0,0.0,0.0,124.0,2.0,374.0
358,1.0,1.0,5.0,0.0,0.0,182.0,160.36049058256683,13.0
