index_seg,d_btw_cntr_SgAsEg,ud_bridge_SgAsEg,ud_btw_cntr_SgAsEg
194,105653.598559,0.0,931223.08747
195,106651.080952,0.0,630274.084393
196,96366.5694188,0.0,661316.887085
197,77083.7049931,0.0,43570.5466486
198,55205.3228769,0.0,43634.7035749
199,46367.7536051,0.0,23943.8241299
200,37895.1712127,0.0,48922.1470833
201,9916.27715146,0.0,7440.90113466
202,14022.9667516,0.0,17690.8201998
203,3178.30747746,0.0,2399.21639101
204,18427.9968065,0.0,18988.5848846
205,3991.10174936,0.0,3616.86089567
206,93908.5420799,0.0,62436.528522
207,186255.730703,0.0,54400.5043824
208,236473.828504,0.0,184185.756678
209,8309.39535786,0.0,14744.0693308
210,5253.82926468,0.0,7867.20094431
211,14381.1006535,0.0,8964.41387007
212,29602.7691946,0.0,21181.4191633
213,22217.3229278,0.0,15724.1965469
214,37985.0548542,0.0,20424.377275
215,19317.4260745,0.0,16574.0675073
216,27228.5476032,0.0,25589.2875047
217,35605.5948019,0.0,25614.0877029
218,20902.1525218,0.0,9919.20438833
219,477869.437729,0.0,233441.161169
220,151397.841283,0.0,50169.3063799
221,128784.056996,0.0,37478.6872062
222,110899.406347,0.0,30479.8563513
223,130217.266933,0.0,99616.3376856
224,116114.71498,0.0,89756.000858
225,106770.678357,0.0,78837.8227913
226,55518.1517812,0.0,40557.0743175
227,45194.6981746,0.0,46572.0868151
228,26920.7082125,0.0,25274.4990177
229,118529.350718,0.0,146337.369566
230,88467.3339903,0.0,115278.318743
231,70126.5730662,0.0,96227.4924802
232,15871.6983442,0.0,6784.88286067
233,24027.9091612,0.0,25507.0390977
234,12759.8684638,0.0,11882.4340007
235,12772.8509463,0.0,12294.8738999
236,13303.5012764,0.0,7550.41501626
237,3340.14590309,0.0,5062.39285793
238,2536.19708231,0.0,2689.80905626
239,14156.6743621,0.0,10053.4233976
240,83704.0592969,0.0,88523.5052339
241,11305.5520067,0.0,11792.2108571
242,50064.4762137,0.0,50814.7600237
243,8659.13231893,0.0,8150.4501376
244,311887.662623,0.0,210770.213911
245,610504.792474,0.0,157845.390023
246,550885.080123,0.0,128263.676877
247,284549.80201,0.0,89980.6562082
248,243528.266386,0.0,18883.078603
249,229581.799607,0.0,12013.1917117
250,240096.642832,0.0,23073.843454
251,256450.220784,0.0,27065.266761
252,267894.007132,0.0,39078.3426614
253,272581.526683,0.0,50075.4930655
254,307140.449243,0.0,87029.9929829
255,380126.643882,0.0,92878.6372657
256,636059.497713,0.0,193182.339012
257,402067.06417,0.0,128320.822903
258,333688.272927,0.0,117102.661802
259,902506.727286,0.0,476946.948135
260,487249.563723,0.0,572149.56082
261,445207.865039,0.0,738084.976762
262,462156.670048,0.0,651588.191185
263,504142.6758,0.0,567621.825554
264,461052.058352,0.0,486575.144382
265,630658.881395,0.0,965218.012448
266,484652.74572,0.0,703851.569017
267,459894.430061,0.0,543933.698474
268,27487.3420245,0.0,26927.5844729
269,29223.9339738,0.0,191385.831961
270,13885.8375786,0.0,36557.4919592
271,11029.3178357,0.0,29837.0584777
272,16308.7380177,0.0,46081.6178029
273,38710.5375544,0.0,33427.0198452
274,22448.115758,0.0,20104.0306358
275,10765.4039916,0.0,6896.04055535
276,26918.6844692,0.0,26329.8740529
277,27665.4051701,0.0,35111.6301037
278,19399.0165111,0.0,26462.7666436
279,16820.7515026,0.0,20315.6690556
280,12658.8228095,0.0,15785.3676944
281,97039.4373029,0.0,118150.189433
282,151743.827906,0.0,90436.5746027
283,40396.1401196,0.0,18974.0672233
284,4729.33019723,0.0,13829.6883312
285,21590.5861292,0.0,26707.9064918
286,11395.1262739,0.0,34540.3441623
287,39640.4843893,0.0,64090.7598972
288,34594.7914269,0.0,44341.1980336
289,5639.18632769,0.0,7542.74930094
290,15128.3709283,0.0,12114.9755253
291,38427.1707648,0.0,44926.3969837
292,120247.307097,0.0,95131.853464
293,140447.700119,0.0,126093.5343
294,109800.697291,0.0,107841.045191
295,43068.7719189,0.0,40103.7383332
296,23195.4820544,0.0,28275.5276359
297,15770.347158,0.0,14317.3229673
298,11858.7105719,0.0,7726.75674144
299,30545.8276236,0.0,22629.4700441
300,45148.8352943,0.0,35020.6361332
301,266998.986988,0.0,167160.716428
302,132229.722388,0.0,135725.424919
303,110027.489111,0.0,81966.3117919
304,86650.0080267,0.0,73823.3544651
305,71201.310557,0.0,34500.657837
306,90549.4908488,0.0,53622.0163532
307,118655.33846,0.0,109496.700928
308,59583.4509481,0.0,56050.6414548
309,43314.4245384,0.0,40041.6873747
310,35339.8031755,0.0,31945.585043
311,30212.2336138,0.0,27089.074041
312,19753.7488626,0.0,17511.2730339
313,6847.75258886,0.0,7667.90297849
314,9439.82251104,0.0,7199.514159
315,10389.3412339,0.0,8588.53973181
316,5773.57812141,0.0,5815.38487703
317,9407.34494659,0.0,9040.48515928
318,8383.47216406,0.0,3241.24652509
319,81268.3535932,0.0,69708.7424137
320,67742.1196427,0.0,61337.7215471
321,51928.0875504,0.0,42102.9605551
322,25411.3133376,0.0,19035.5304221
323,28950.8582254,0.0,57976.0496377
324,80483.2958193,0.0,86836.2165303
325,24318.7262447,0.0,25445.1705483
326,46479.8476279,0.0,47634.4514474
327,14524.4685552,0.0,14968.1112901
328,258740.157371,0.0,56349.7735377
329,700921.390905,0.0,147664.60065
330,100775.955623,0.0,14630.6791675
331,86228.7463095,0.0,13116.901853
332,87896.3805912,0.0,11150.5619005
333,89859.6609541,0.0,15362.5326189
334,97163.9972132,0.0,27048.7594694
335,96957.3716262,0.0,28059.0732737
336,106157.489387,0.0,47282.7797606
337,124622.239138,0.0,65567.1133134
338,203664.13864,0.0,95542.4057004
339,525951.670866,0.0,224048.313367
340,177775.567948,0.0,76975.5328147
341,134236.113841,0.0,56946.6083843
342,546326.26609,0.0,931293.567194
343,226892.505633,0.0,682357.66954
344,233526.947879,0.0,501276.980659
345,493879.925062,0.0,506174.072077
346,412969.139014,0.0,461210.710869
347,179642.740437,0.0,122202.411052
348,115021.665581,0.0,114001.918438
349,60217.2727709,0.0,91483.8472042
350,27001.868512,0.0,61926.8198931
351,12605.3590226,0.0,32475.5348517
