index_seg,bkdc_total,Bus/Bike Lane,Climbing Lane,Contraflow Bike Lane,Cycle Track,Existing Bike Lane,Shared Lane
820,1,0,0,0,0,1,0
1726,1,0,0,0,0,0,1
7285,1,0,0,0,0,1,0
1115,1,0,0,0,0,0,1
4420,1,0,0,0,0,1,0
5755,1,0,0,0,1,0,0
11757,1,0,0,0,0,0,1
10692,1,0,0,0,0,1,0
7743,1,0,0,0,0,0,1
817,1,0,0,0,0,1,0
2514,1,0,0,0,0,1,0
6772,1,0,0,0,0,1,0
8984,1,0,0,1,0,0,0
9266,1,0,0,0,0,1,0
6403,1,0,0,0,0,0,1
811,1,0,0,0,0,1,0
2430,1,0,0,0,0,1,0
7276,1,0,0,0,0,1,0
504,1,0,0,0,0,1,0
2501,1,0,0,0,1,0,0
12842,1,0,0,0,0,1,0
788,1,0,0,0,0,1,0
511,1,0,0,0,0,1,0
10306,1,0,0,0,0,1,0
12261,1,0,0,0,0,1,0
6162,1,0,0,0,0,1,0
823,1,0,0,0,0,1,0
8704,1,0,0,0,0,1,0
8598,1,0,0,0,0,0,1
9884,1,0,0,0,0,1,0
4992,1,0,0,0,0,1,0
4428,1,0,0,0,0,1,0
7653,1,0,0,0,0,1,0
5232,1,0,0,0,0,1,0
4710,1,0,0,0,0,1,0
2431,1,0,0,0,0,1,0
5753,1,0,0,0,1,0,0
782,1,0,0,0,1,0,0
6705,1,0,0,0,0,1,0
505,1,0,0,0,0,1,0
5758,1,0,0,0,1,0,0
3956,1,0,1,0,0,0,0
1609,1,0,0,0,0,0,1
3792,1,0,0,0,0,1,0
1110,1,0,0,0,0,0,1
10260,1,0,0,0,0,1,0
9269,1,0,0,0,0,1,0
7856,1,0,0,0,0,1,0
9806,1,0,0,1,0,0,0
7320,1,0,0,0,1,0,0
4589,1,0,0,0,0,1,0
4867,1,0,0,0,0,1,0
1728,1,0,0,0,0,0,1
5676,1,0,0,0,0,1,0
9862,1,0,0,1,0,0,0
7203,1,0,0,0,0,0,1
5668,1,0,0,0,0,1,0
11720,1,0,0,0,0,0,1
4514,1,0,0,0,0,0,1
285,1,0,0,0,0,1,0
282,1,0,0,0,0,1,0
7652,1,0,0,0,0,1,0
863,1,0,0,0,0,1,0
986,1,0,0,0,0,1,0
6631,1,0,1,0,0,0,0
261,1,0,0,0,0,1,0
1730,1,0,0,0,0,0,1
7485,1,0,0,0,0,0,1
2432,1,0,0,0,0,1,0
3712,1,0,0,0,0,1,0
8288,1,0,0,0,0,1,0
10149,1,0,0,0,0,1,0
2481,1,0,0,0,0,0,1
6715,1,0,0,0,0,1,0
1777,1,0,0,0,0,0,1
3700,1,0,0,0,0,1,0
6718,1,0,0,0,0,1,0
7737,1,0,0,0,0,0,1
5750,1,0,0,0,1,0,0
893,1,0,0,0,1,0,0
4055,1,0,0,0,0,0,1
898,1,0,0,0,1,0,0
3696,1,0,1,0,0,0,0
8749,1,0,0,0,0,0,1
584,1,0,0,0,0,1,0
2505,1,0,0,0,1,0,0
4427,1,0,0,0,0,1,0
11366,1,0,0,0,0,1,0
580,1,0,0,0,0,1,0
7318,1,0,0,0,1,0,0
2927,1,0,0,0,0,1,0
512,1,0,0,0,0,1,0
8347,1,0,0,0,0,1,0
12839,1,0,0,0,0,1,0
6883,1,0,0,0,0,1,0
12267,1,0,0,0,0,1,0
2513,1,0,0,0,0,1,0
840,1,0,0,0,0,1,0
7282,1,0,0,0,0,1,0
8987,1,0,0,1,0,0,0
8960,1,0,0,0,0,1,0
9136,1,0,0,0,0,1,0
8595,1,0,0,0,0,0,1
668,1,0,0,0,0,1,0
1775,1,0,0,1,0,0,0
4994,1,0,0,0,0,1,0
