,index_seg,art,outdoors and recreation,retail shop,professional service,food,nightlife spot,residence,schools&university,cycling facilities,transportation,poi_total
11360,12287,0,1,0,1,0,0,0,0,0,8,10
11361,12288,0,1,0,1,0,0,0,0,0,9,11
11362,12289,0,2,0,1,0,0,0,0,3,9,15
11363,12290,0,1,0,0,0,0,3,0,0,0,4
11364,12291,0,0,0,0,0,0,5,0,0,0,5
11365,12292,0,0,0,0,0,0,1,0,0,0,1
11366,12293,0,1,0,0,0,0,7,0,0,0,8
11367,12294,0,0,0,0,0,0,2,0,0,0,2
11368,12295,0,0,0,0,0,0,6,0,0,1,7
11369,12296,0,0,0,0,0,0,5,0,0,0,5
11370,12297,0,1,0,0,0,1,0,0,0,0,2
11371,12298,0,0,0,0,0,0,0,0,0,1,1
11372,12299,0,0,0,0,0,0,0,0,0,1,1
11373,12300,0,0,0,0,0,1,0,0,0,1,2
11374,12301,0,2,0,0,0,1,0,0,0,0,3
11375,12302,0,0,0,0,0,1,0,0,0,0,1
11376,12303,0,0,0,0,0,0,0,0,24,3,27
11377,12304,0,0,0,1,0,0,0,0,4,2,7
11378,12305,0,0,0,0,0,0,0,0,0,2,2
11379,12306,0,2,0,0,0,0,0,0,0,3,5
11380,12307,0,3,0,0,0,0,0,0,6,0,9
11381,12308,0,1,1,1,0,0,0,0,12,5,20
11382,12309,1,0,2,1,1,0,1,1,8,7,22
11383,12310,0,0,3,1,1,0,0,1,7,7,20
11384,12311,0,2,0,1,0,0,0,0,4,5,12
11385,12312,0,2,0,1,2,0,1,0,4,1,11
11386,12313,0,2,0,0,0,0,0,0,5,0,7
11387,12314,0,4,0,1,0,0,0,0,7,3,15
11388,12315,0,2,0,0,0,0,0,0,1,1,4
11389,12316,0,2,0,1,0,0,0,0,6,2,11
11390,12317,0,26,3,0,0,0,0,0,14,9,52
11391,12318,0,2,0,0,0,0,0,0,2,0,4
11392,12319,0,5,0,0,0,0,0,0,5,0,10
11393,12320,0,5,0,0,0,0,0,0,7,3,15
11394,12321,0,3,0,1,0,0,0,0,0,0,4
11395,12322,0,0,0,2,0,0,0,0,0,1,3
11396,12324,0,0,0,0,0,0,0,1,0,1,2
11397,12325,0,0,0,0,0,0,0,0,0,1,1
11398,12327,0,2,0,0,0,0,0,0,1,0,3
11399,12329,0,0,1,0,0,0,0,0,0,0,1
11400,12330,0,0,0,1,0,0,0,0,0,2,3
11401,12331,0,0,0,1,0,0,0,0,0,0,1
11402,12332,0,0,0,1,0,0,0,0,0,2,3
11403,12333,0,0,0,0,0,0,0,0,0,3,3
11404,12334,0,1,0,1,0,0,0,0,0,2,4
11405,12335,0,1,0,0,0,0,0,0,0,1,2
11406,12336,0,0,0,0,0,0,0,1,0,1,2
11407,12337,0,0,0,0,0,0,0,1,0,1,2
11408,12338,0,1,0,0,0,0,0,0,0,2,3
11409,12340,0,0,0,1,0,0,0,0,2,4,7
11410,12341,0,0,0,1,0,0,0,0,1,3,5
11411,12342,0,0,0,1,0,0,0,0,0,1,2
11412,12343,0,0,0,1,0,0,0,0,1,1,3
11413,12344,0,3,0,1,0,0,0,0,2,5,11
11414,12345,0,1,0,0,0,0,0,0,0,2,3
11415,12346,0,7,2,0,0,0,1,0,4,10,24
11416,12347,0,4,0,0,0,0,2,0,2,2,10
11417,12348,0,1,0,0,0,0,1,0,1,2,5
11418,12349,0,0,0,0,0,0,0,1,0,0,1
11419,12350,0,0,0,1,0,0,0,0,0,3,4
11420,12351,0,0,0,1,0,0,0,0,2,5,8
11421,12352,0,0,0,1,0,0,0,0,3,3,7
11422,12353,0,0,2,1,2,0,0,0,23,9,37
11423,12354,0,0,0,0,0,0,0,0,0,2,2
11424,12355,0,2,0,0,0,0,1,0,0,2,5
11425,12356,0,0,0,0,0,0,0,0,0,3,3
11426,12357,0,2,0,0,0,0,0,0,0,0,2
11427,12358,0,2,2,0,1,0,0,0,4,0,9
11428,12359,0,1,2,1,2,0,0,0,4,1,11
11429,12360,0,0,0,1,0,0,0,0,1,1,3
11430,12361,0,0,0,0,0,0,0,0,1,1,2
11431,12362,0,0,0,0,0,0,0,0,2,1,3
11432,12363,0,1,0,0,0,0,0,0,4,1,6
11433,12364,0,4,0,0,0,0,0,0,3,2,9
11434,12365,0,3,0,0,1,0,0,0,2,1,7
11435,12366,0,1,0,0,1,0,0,0,5,1,8
11436,12367,0,1,0,0,0,0,0,0,4,1,6
11437,12368,0,0,0,0,0,0,0,0,6,1,7
11438,12369,0,2,0,0,0,0,0,0,3,1,6
11439,12370,0,0,0,0,0,0,0,0,3,1,4
11440,12371,0,0,0,0,2,0,0,0,3,2,7
11441,12372,0,0,0,0,0,0,0,0,1,1,2
11442,12373,0,0,0,0,0,0,0,0,3,1,4
11443,12374,0,0,0,0,0,0,0,1,3,1,5
11444,12375,0,0,0,0,0,0,0,1,1,1,3
11445,12377,0,0,0,1,0,0,0,0,0,0,1
11446,12378,0,0,0,1,0,0,0,0,0,0,1
11447,12379,0,0,0,0,0,0,0,1,0,1,2
11448,12380,0,0,0,1,0,0,0,1,0,0,2
11449,12382,0,0,1,0,1,0,0,0,0,0,2
11450,12383,0,0,0,0,0,0,0,2,0,0,2
11451,12384,0,0,1,2,0,0,0,1,1,0,5
11452,12387,0,0,0,0,0,0,0,1,0,0,1
11453,12389,0,1,1,0,1,0,0,0,2,2,7
11454,12390,0,0,0,1,0,0,0,0,0,0,1
11455,12391,0,0,0,1,0,0,0,0,0,2,3
11456,12392,0,3,0,0,0,0,0,0,0,1,4
11457,12393,0,3,0,0,2,1,0,1,1,2,10
11458,12394,0,0,0,1,0,0,0,0,2,2,5
11459,12395,0,0,0,1,0,0,0,0,1,5,7
11460,12396,0,0,0,1,0,0,0,0,1,1,3
11461,12397,0,0,0,1,0,0,0,0,3,2,6
11462,12398,0,0,0,1,0,0,0,0,4,2,7
11463,12399,0,1,0,1,0,0,0,0,0,0,2
11464,12400,0,0,0,1,0,0,0,0,0,0,1
11465,12401,0,0,0,1,0,0,0,0,2,1,4
11466,12402,0,1,0,2,0,0,0,0,0,2,5
11467,12403,1,1,0,2,0,0,0,1,9,2,16
11468,12404,0,3,0,0,0,0,1,0,0,0,4
11469,12405,0,1,1,0,0,0,0,0,0,3,5
11470,12407,0,0,0,0,0,0,0,0,0,1,1
11471,12408,1,1,2,1,0,0,2,1,8,2,18
11472,12409,0,0,0,0,0,0,2,1,8,4,15
11473,12410,0,4,0,2,0,1,2,0,5,0,14
11474,12411,0,1,0,0,0,0,1,0,0,0,2
11475,12412,0,3,0,0,0,0,0,0,1,0,4
11476,12413,1,7,7,16,10,2,0,0,33,12,88
11477,12414,0,2,0,0,0,0,0,0,3,2,7
11478,12415,0,0,0,0,0,0,0,0,2,2,4
11479,12416,0,27,0,0,0,0,0,0,20,4,51
11480,12417,0,10,0,1,0,0,0,1,5,1,18
11481,12418,1,31,2,2,2,0,1,1,31,7,78
11482,12419,0,24,0,0,0,0,0,0,17,3,44
11483,12420,0,5,0,0,0,0,0,0,7,1,13
11484,12421,0,0,0,2,0,0,0,0,0,1,3
11485,12422,0,0,0,0,0,0,0,0,4,1,5
11486,12423,0,0,0,1,0,0,0,0,0,8,9
11487,12424,0,0,0,1,0,0,0,0,0,2,3
11488,12425,0,0,0,1,0,0,0,0,0,3,4
11489,12426,0,0,0,1,0,0,0,0,0,1,2
11490,12427,0,0,0,2,0,0,0,0,0,5,7
11491,12428,0,1,0,4,1,0,0,0,18,4,28
11492,12429,1,0,0,3,3,0,0,0,11,3,21
11493,12430,2,1,5,4,2,0,0,0,10,3,27
11494,12431,0,2,0,2,0,0,0,0,7,7,18
11495,12432,0,2,0,2,2,0,0,0,9,13,28
11496,12433,0,3,1,9,2,0,0,0,14,18,47
11497,12434,0,19,1,0,0,0,0,0,25,5,50
11498,12435,0,2,0,0,0,0,0,0,19,0,21
11499,12436,0,3,0,0,0,0,0,0,18,0,21
11500,12437,0,10,0,1,1,0,0,0,33,5,50
11501,12438,0,1,0,0,0,0,0,0,17,0,18
11502,12439,0,3,0,0,0,0,0,0,23,0,26
11503,12440,0,0,0,1,0,0,0,0,0,5,6
11504,12441,0,0,0,1,0,0,0,0,0,6,7
11505,12442,0,0,0,1,0,0,0,0,0,2,3
11506,12443,0,2,0,0,0,0,0,0,5,4,11
11507,12444,0,2,0,2,0,0,0,0,0,0,4
11508,12445,0,1,2,3,0,0,0,1,1,3,11
11509,12446,0,0,0,0,0,0,0,0,2,0,2
11510,12447,0,2,0,0,0,0,0,0,2,0,4
11511,12448,0,1,0,0,0,0,0,0,0,1,2
11512,12449,0,0,0,1,0,0,0,0,0,0,1
11513,12450,0,1,0,0,0,0,1,0,1,3,6
11514,12451,0,2,0,0,0,0,1,0,0,2,5
11515,12452,0,1,0,0,0,0,0,0,2,1,4
