index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,poi_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,crime_total_neighbor
2073,15.0,12.0,24.0,1.0,0.0,222.0,14.0,29.0,13.454545454545455,41.72727272727273,12.545454545454545,201.3636363636364
2074,20.0,35.0,53.0,30.0,0.0,165.0,160.36049058256683,2.0,14.4,50.2,13.9,202.1
2075,15.0,24.0,105.0,29.0,0.0,159.0,30.0,496.0,13.666666666666664,57.88888888888889,14.555555555555555,168.22222222222226
2076,25.0,18.0,94.0,1.0,0.0,155.0,5.0,354.0,14.666666666666664,75.0,0.6666666666666666,127.66666666666669
2077,16.0,11.0,98.0,2.0,0.0,70.0,13.0,82.0,19.0,51.6,1.4,62.0
2078,9.0,3.0,30.0,0.0,3.0,84.0,5.0,546.0,7.0,27.33333333333333,0.0,88.33333333333331
2079,7.0,7.0,51.0,6.0,2.0,116.0,15.0,392.0,4.166666666666667,40.5,3.1666666666666665,99.16666666666669
2080,15.0,33.0,76.0,61.0,0.0,259.0,39.0,1550.0,19.166666666666668,133.66666666666666,116.83333333333331,305.6666666666667
2081,34.0,64.0,206.0,180.0,1.0,240.0,77.0,188.0,12.833333333333336,68.0,60.5,171.33333333333334
2082,15.0,12.0,90.0,82.0,2.0,151.0,548.8022121014964,936.0,17.0,92.75,81.5,162.75
2083,12.0,44.0,46.0,23.0,2.0,261.0,6555.0,2936.0,16.5,75.25,63.75,272.5
2084,21.0,7.0,79.0,67.0,2.0,361.0,21.0,1068.0,16.714285714285715,52.57142857142857,41.142857142857146,292.57142857142856
2085,23.0,1.0,56.0,48.0,0.0,278.0,6.0,59.0,17.5,56.25,38.25,365.125
2086,23.0,10.0,20.0,5.0,2.0,362.0,26.0,955.0,18.666666666666668,53.33333333333334,37.888888888888886,357.33333333333326
2087,17.0,5.0,43.0,25.0,3.0,429.0,548.8022121014964,6.0,19.6,43.3,29.1,369.0
2088,23.0,9.0,55.0,37.0,2.0,388.0,39.0,269.0,19.6,47.6,24.6,432.7
2089,19.0,4.0,3.0,1.0,1.0,380.0,548.8022121014964,500.7763157894737,19.69230769230769,54.615384615384606,26.30769230769231,430.15384615384613
2090,27.0,7.0,26.0,14.0,1.0,452.0,44.0,887.0,18.23076923076923,51.153846153846146,25.07692307692308,431.8461538461538
2091,18.0,12.0,31.0,15.0,0.0,448.0,20.0,11.0,21.09090909090909,53.18181818181818,23.09090909090909,429.1818181818182
2092,16.0,2.0,22.0,4.0,2.0,410.0,1.0,47.0,21.7,60.6,26.7,440.0
2093,18.0,5.0,66.0,42.0,0.0,308.0,548.8022121014964,750.0,21.444444444444443,52.0,23.88888888888889,440.33333333333326
2094,37.0,20.0,118.0,67.0,1.0,416.0,149.0,563.0,23.142857142857146,86.2857142857143,36.714285714285715,389.71428571428567
2095,48.0,24.0,229.0,144.0,3.0,301.0,28.0,977.0,25.8,84.4,29.4,374.8
2096,27.0,18.0,63.0,27.0,2.0,324.0,59.0,230.0,26.857142857142854,88.85714285714286,48.85714285714285,371.0
2097,25.0,13.0,35.0,21.0,1.0,380.0,6.0,524.0,27.42857142857143,88.0,49.42857142857143,377.8571428571428
2098,4.0,7.719370860927152,34.0,1.0,0.0,22.0,160.36049058256683,54.0,3.2,25.2,0.4,23.8
2099,4.0,7.719370860927152,26.0,1.0,0.0,25.0,160.36049058256683,21.0,5.5,19.5,0.3333333333333333,19.166666666666668
2100,22.0,4.728971962616822,12.0,0.0,3.0,5.0,5.0,363.0,19.75,52.75,35.75,3.0
2101,6.0,4.0,15.0,0.0,0.0,233.0,33.670360110803315,697.0,4.9444444444444455,27.16666666666667,0.16666666666666666,218.5555555555556
2102,13.0,8.0,82.0,28.0,1.0,625.0,28.0,1774.0,25.25,54.25,10.25,669.0
2103,4.0,13.851239669421489,14.0,0.0,0.0,102.0,1.0,21.0,6.25,13.0,0.0,63.0
2104,4.0,2.0,5.0,0.0,0.0,80.0,548.8022121014964,1.0,5.3,18.4,0.0,59.2
2105,0.0,1.0,16.0,0.0,0.0,13.0,1.0,2.0,0.25,43.375,1.125,16.75
2106,37.0,2.0,102.0,56.0,5.0,380.0,4.1951219512195115,2410.0,38.91666666666666,114.41666666666669,57.66666666666666,345.41666666666674
2107,3.0,3.4166666666666665,1.0,0.0,0.0,7.0,4.0,1.0,2.9,2.9,0.1,4.1
2108,2.0,3.4166666666666665,4.0,0.0,0.0,10.0,4.0,77.0,3.9230769230769234,7.461538461538463,0.07692307692307693,12.076923076923075
2109,3.0,3.4166666666666665,0.0,0.0,0.0,7.0,4.0,77.0,3.733333333333333,6.7333333333333325,0.06666666666666668,10.8
2110,2.0,3.4166666666666665,1.0,0.0,0.0,15.0,4.0,77.0,4.352941176470588,16.176470588235293,4.705882352941177,17.823529411764707
2111,1.0,1.0,29.0,0.0,0.0,61.0,1.0,18.0,4.615384615384615,26.0,3.3846153846153846,51.384615384615394
2112,5.0,13.851239669421489,17.0,0.0,0.0,36.0,1.0,22.0,6.6,17.933333333333334,2.933333333333333,48.26666666666666
2113,7.0,3.0,11.0,0.0,0.0,50.0,4.0,117.0,6.294117647058822,18.058823529411768,0.2352941176470588,55.941176470588225
2114,6.0,6.0,35.0,0.0,1.0,83.0,2.0,43.0,3.6923076923076934,28.30769230769231,0.2307692307692308,63.46153846153846
2115,4.0,3.0,17.0,0.0,1.0,61.0,548.8022121014964,7.0,2.2142857142857144,38.142857142857146,0.07142857142857142,67.14285714285714
2116,3.0,1.0,14.0,0.0,0.0,62.0,548.8022121014964,85.0,1.933333333333333,39.13333333333333,0.13333333333333333,67.4
2117,4.0,4.0,32.0,0.0,0.0,83.0,9.0,73.0,2.5384615384615383,31.153846153846153,0.07692307692307693,72.30769230769229
2118,7.0,6.0,28.0,0.0,0.0,94.0,5.0,85.0,5.230769230769232,29.76923076923077,0.0,85.0
2119,4.0,1.0,22.0,0.0,0.0,64.0,1.0,500.7763157894737,5.25,33.916666666666664,0.25,87.83333333333331
2120,4.0,3.0,38.0,0.0,0.0,72.0,548.8022121014964,241.0,5.583333333333332,35.416666666666664,0.5833333333333334,114.16666666666669
2121,5.0,8.0,43.0,2.0,0.0,217.0,6.0,431.0,8.6,59.3,29.7,172.4
2122,8.0,8.0,15.0,1.0,0.0,240.0,11.0,828.0,15.9,72.2,42.0,209.7
2123,13.0,6.0,10.0,1.0,0.0,194.0,10.0,68.0,14.8,55.4,16.9,190.2
2124,5.0,2.4230769230769234,20.0,0.0,0.0,2.0,2.1111111111111107,16.185185185185187,5.666666666666668,30.66666666666667,0.3333333333333333,4.666666666666667
2125,9.0,2.4230769230769234,26.0,0.0,0.0,3.0,2.1111111111111107,16.185185185185187,12.0,50.0,0.0,1.0
2126,14.0,23.0,114.0,26.0,3.0,402.0,8.0,2359.0,7.0,33.2,3.2,254.8
2127,22.0,35.0,83.0,23.0,3.0,384.0,10.0,614.0,24.16666666666667,85.66666666666667,33.5,330.0
2128,23.0,10.0,46.0,0.0,1.0,275.0,14.0,473.0,23.0,41.285714285714285,0.2857142857142857,308.0
2129,26.0,11.0,59.0,0.0,1.0,425.0,12.0,8154.0,22.428571428571423,47.57142857142857,0.8571428571428571,383.1428571428572
2130,47.0,22.0,122.0,17.0,6.0,1570.0,23.0,804.0,46.25,105.75,18.5,1331.75
2131,8.0,4.0,102.0,47.0,0.0,239.0,160.36049058256683,1364.0,22.11111111111111,97.11111111111113,40.111111111111114,219.11111111111111
2132,1.0,1.0,136.0,29.0,0.0,183.0,1.0,394.0,2.333333333333333,71.33333333333333,18.5,158.66666666666666
2133,3.0,2.0,59.0,0.0,0.0,114.0,1.0,78.0,3.571428571428572,39.142857142857146,0.0,103.42857142857143
2134,5.0,3.0,24.0,0.0,0.0,81.0,1.0,32.0,5.333333333333333,43.16666666666666,0.0,108.33333333333331
2135,18.0,1.0,69.0,39.0,1.0,171.0,33.670360110803315,1124.0,22.3,81.9,34.3,231.2
