index_seg,YEAR,MONTH,v0_total,USERTYPE_Biker,USERTYPE_Car Driver,USERTYPE_Pedestrian,REQUESTTYPE_Accessibility Issue,REQUESTTYPE_Blocking the bikebox,REQUESTTYPE_Blocking the crosswalk,REQUESTTYPE_Cyclist behavior,REQUESTTYPE_Double parking,REQUESTTYPE_Failure to stop for pedestrians,REQUESTTYPE_Jaywalking,REQUESTTYPE_Long distance to cross,REQUESTTYPE_Long wait to cross,REQUESTTYPE_Not enough time to cross,REQUESTTYPE_Other Biking Issue,REQUESTTYPE_Other Driving Issue,REQUESTTYPE_Other Walking Issue,REQUESTTYPE_Poor visibility,REQUESTTYPE_Red light running,REQUESTTYPE_Speeding,REQUESTTYPE_Stop sign running
152,2015.0,7.0,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
153,2015.0,7.0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
154,2015.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,2015.0,7.0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
159,2015.0,7.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
160,2015.0,6.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
160,2015.0,7.0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
162,2015.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,2015.0,7.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
169,2015.0,7.0,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
170,2015.0,7.0,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
171,2015.0,7.0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
179,2015.0,8.0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
180,2015.0,8.0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
181,2015.0,7.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
181,2015.0,8.0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
182,2015.0,7.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
184,2015.0,7.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
185,2015.0,7.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
187,2015.0,7.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,2015.0,8.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,2015.0,8.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
192,2015.0,12.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
197,2015.0,8.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
200,2015.0,9.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2015.0,7.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
214,2015.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
215,2015.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
216,2015.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
217,2015.0,7.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
218,2016.0,11.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
222,2015.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
222,2015.0,8.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
222,2015.0,10.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
223,2015.0,7.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
223,2015.0,8.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
223,2015.0,10.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
224,2015.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
225,2015.0,7.0,4,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
226,2015.0,7.0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
227,2015.0,7.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
228,2015.0,7.0,4,0,2,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0
228,2015.0,8.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,2015.0,7.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
229,2015.0,8.0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
230,2015.0,8.0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
231,2015.0,8.0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
233,2015.0,7.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
241,2015.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
242,2015.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
244,2015.0,7.0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
244,2015.0,8.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
244,2016.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
245,2015.0,7.0,2,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
245,2015.0,8.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
245,2016.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
246,2015.0,7.0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
246,2015.0,8.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
246,2016.0,12.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
247,2015.0,6.0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
247,2015.0,7.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
247,2015.0,8.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
248,2015.0,6.0,2,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
249,2015.0,6.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
249,2015.0,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
