index_seg,d_auth_score_SgAsNd,d_btw_cntr_SgAsNd,d_clo_cntr_SgAsNd,d_far_cntr_SgAsNd,d_hub_score_SgAsNd,d_in_deg_SgAsNd,d_node_ecc_SgAsNd,d_out_deg_SgAsNd,d_page_rank_SgAsNd,ud_art_pt_SgAsNd,ud_auth_score_SgAsNd,ud_bridge_SgAsNd,ud_btw_cntr_SgAsNd,ud_clo_cntr_SgAsNd,ud_deg_cntr_SgAsNd,ud_eig_cntr_SgAsNd,ud_far_cntr_SgAsNd,ud_hub_score_SgAsNd,ud_node_ecc_SgAsNd,ud_page_rank_SgAsNd
654,1.16272680959e-06,59226.1000601,0.0285166988993,35.0671725199,9.02067142929e-07,0.000369904564622,73.0,0.000369904564622,9.71606629067e-05,,1.83521592806e-07,,16371.1770318,0.0305658292809,0.000443885477547,3.97761001821e-09,32.7162725019,1.2884390654e-07,71.0,7.90609825096e-05
655,3.20330632149e-07,37644.615794,0.0281748483298,35.4926489148,2.4395713279e-07,0.000221942738773,74.0,0.000221942738773,6.3886885617e-05,,1.08309402116e-07,,17719.7921676,0.0303598114918,0.000369904564622,2.17743253032e-09,32.9382809334,7.59283454053e-08,71.0,7.13916374297e-05
656,3.24565107579e-07,15676.0167941,0.0271534360728,36.827751645,2.38152304662e-07,0.000295923651698,77.0,0.000295923651698,7.70337941147e-05,,2.64907328757e-08,,7821.35964145,0.0292763570531,0.000369904564622,1.63035108685e-10,34.1572552277,1.82648613239e-08,72.0,7.6283238431e-05
657,4.41693160209e-07,135569.668156,0.0270763691286,36.9325737602,3.22724686337e-07,0.000443885477547,77.0,0.000443885477547,0.00010401393372,,3.14233333057e-08,,104681.57802,0.0293499278815,0.000443885477547,1.9039758361e-10,34.071633976,2.16267645651e-08,72.0,8.59146899836e-05
658,3.01918415922e-07,142130.312098,0.0270262865038,37.0010138041,2.16534842327e-07,0.000443885477547,78.0,0.000443885477547,9.82510204297e-05,,2.41526284481e-08,,98721.0848075,0.0293006702226,0.000443885477547,2.02726673519e-10,34.1289121513,1.66011347014e-08,73.0,8.59566717519e-05
659,1.53451069494e-07,125000.040781,0.0268918548635,37.1859808509,1.15948613521e-07,0.000295923651698,79.0,0.000369904564622,6.82552262189e-05,,1.57001081642e-08,,67694.1319943,0.0291071627268,0.000369904564622,1.4258386152e-10,34.3558047682,1.07740646712e-08,74.0,7.4178798897e-05
660,4.24454289477e-08,178591.716168,0.0264332842849,37.8310916352,3.6516151485e-08,0.000221942738773,80.0,0.000295923651698,6.63129900889e-05,,1.00408253166e-08,,64485.7482353,0.0286219611453,0.000369904564622,5.90432396708e-11,34.9382068868,6.8575792146e-09,75.0,7.48052081694e-05
661,2.31470675333e-08,174732.624657,0.0260282692408,38.4197654769,1.38726191244e-08,0.000369904564622,81.0,0.000295923651698,0.000118638002495,,1.16132223565e-08,,129256.095814,0.0284976175628,0.000443885477547,5.48662306832e-11,35.0906526764,7.94998599508e-09,76.0,8.6677139264e-05
662,1.58410048485e-08,126152.809816,0.0259557909488,38.5270478551,1.07129246236e-08,0.000369904564622,82.0,0.000295923651698,0.000134864826894,,1.42845599773e-08,,176048.970401,0.0288482893324,0.000443885477547,7.07408945296e-11,34.6641004767,9.87535889853e-09,75.0,8.63838585667e-05
663,2.35162460636e-08,65565.9900561,0.0258460092653,38.6906926224,1.4432462423e-08,0.000295923651698,82.0,0.000221942738773,0.000104928744629,,1.68469788232e-08,,35516.0749217,0.0289498948007,0.000369904564622,9.71141078378e-11,34.5424398563,1.18068917963e-08,75.0,7.42334703466e-05
