index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,poi_total_neighbor,crash_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,v0_total_neighbor,crime_total_neighbor,parking_total_neighbor
698,3.0,7.719370860927152,12.0,0.0,0.0,26.0,1.0,25.0,4.1,5.131622516556289,15.7,0.0,0.1,31.2,88.23206537460226
699,4.0,7.719370860927152,13.0,0.0,0.0,32.0,160.36049058256683,25.0,4.2,7.402830560609558,14.3,0.0,0.2,37.7,140.60969695354964
700,7.0,7.719370860927152,19.0,0.0,0.0,35.0,160.36049058256683,1.0,5.0,8.00314506734395,14.111111111111107,0.0,0.1111111111111111,44.444444444444436,225.26862480905768
701,6.0,1.0,32.0,0.0,0.0,34.0,1.0,11.0,5.0,7.675727756871238,18.9,0.0,0.4,43.0,143.50969695354962
702,3.0,7.719370860927152,43.0,0.0,0.0,34.0,160.36049058256683,7.0,4.375,6.039528145695362,27.25,0.0,0.5,47.75,307.4952451547585
703,3.0,7.719370860927152,26.0,0.0,0.0,24.0,160.36049058256683,603.3206537460227,3.75,6.164528145695362,26.625,0.0,0.125,46.5,244.2051634365057
704,4.0,1.0,11.0,0.0,0.0,47.0,160.36049058256683,52.0,3.7,5.531622516556292,26.3,0.5,0.1,50.6,235.96413074920457
705,4.0,3.0,30.0,0.0,0.0,69.0,2.0,170.0,4.0,3.348391674550616,20.428571428571427,0.7142857142857143,0.14285714285714285,59.57142857142857,80.14285714285714
706,5.0,1.0,17.0,0.0,0.0,81.0,160.36049058256683,31.0,3.8181818181818175,4.360556294860738,13.0,0.5454545454545454,0.2727272727272727,53.90909090909091,291.6037552265496
707,4.0,1.0,7.0,0.0,0.0,46.0,4.0,1.0,4.4444444444444455,5.1122707937053224,15.0,0.0,0.2222222222222222,52.33333333333334,437.960145276894
708,3.0,1.0,1.0,0.0,0.0,34.0,160.36049058256683,603.3206537460227,5.0,3.93248250308769,17.714285714285715,0.0,0.2857142857142857,56.714285714285715,386.57142857142856
709,3.0,1.0,18.0,0.0,0.0,131.0,33.670360110803315,258.0,5.571428571428571,7.4209261686325885,25.714285714285715,0.0,0.2857142857142857,124.85714285714286,262.14285714285717
710,2.0,3.9464831804281344,8.0,0.0,0.0,86.0,33.670360110803315,246.0,5.5,5.875,25.625,0.0,0.25,116.375,247.25
711,3.0,3.0,17.0,0.0,0.0,122.0,1.0,80.0,5.333333333333333,6.0739837823728084,18.33333333333333,0.0,0.2222222222222222,96.0,530.0356281940026
712,7.0,4.0,25.0,0.0,0.0,210.0,33.670360110803315,173.0,7.833333333333332,8.786561810154526,21.0,0.3333333333333333,0.3333333333333333,120.33333333333331,223.66666666666663
713,13.0,3.9464831804281344,6.0,0.0,0.0,9.0,33.670360110803315,255.05136612021855,8.4,7.719370860927152,2.0,0.0,0.0,7.6,484.25652299681815
714,27.0,7.719370860927152,2.0,1.0,4.0,59.0,160.36049058256683,603.3206537460227,49.0,19.428571428571427,48.28571428571429,13.571428571428573,3.7142857142857135,117.0,2639.617236249432
715,25.0,10.0,11.0,0.0,5.0,6.0,160.36049058256683,4091.0,26.66666666666667,15.786561810154526,17.0,1.5,2.1666666666666665,6.166666666666668,225.3333333333333
716,45.0,50.0,55.0,9.0,1.0,16.0,115.0,453.0,30.25,26.75,63.75,15.75,3.75,10.0,2839.0
