index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,poi_total_neighbor,crash_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,v0_total_neighbor,crime_total_neighbor,moving_total_neighbor,parking_total_neighbor
20,2.0,3.0,62.0,1.0,0.0,112.0,160.36049058256683,2.0,6.0,9.090909090909092,36.72727272727273,0.6363636363636364,1.2727272727272727,118.36363636363636,101.17124398629062,127.79784688995217
21,4.0,5.0,40.0,0.0,1.0,103.0,160.36049058256683,65.0,5.769230769230768,8.747643912379012,34.153846153846146,0.6153846153846154,1.1538461538461535,117.46153846153848,127.89891507313023,111.13663967611336
22,5.0,5.0,27.0,0.0,1.0,122.0,160.36049058256683,56.0,4.8,6.873639717547307,28.93333333333333,0.13333333333333333,1.3333333333333333,105.13333333333334,133.005149148442,126.93979796903312
23,2.0,7.719370860927152,22.0,0.0,1.0,114.0,160.36049058256683,27.0,2.357142857142857,5.5901934532850746,19.785714285714285,0.21428571428571427,0.6428571428571429,82.57142857142857,152.29343485142857,217.30590107029224
24,2.0,7.719370860927152,7.0,0.0,1.0,45.0,160.36049058256683,603.3206537460227,1.7692307692307692,5.09713141123008,22.07692307692308,0.3076923076923077,0.5384615384615384,75.84615384615384,109.61118347968748,179.53553547985138
25,5.0,1.0,12.0,0.0,0.0,25.0,3.0,97.0,2.8,5.077044980456488,15.2,0.0,0.6,34.8,65.54419623302671,95.6
26,1.0,2.0,14.0,0.0,1.0,42.0,160.36049058256683,403.0,2.888888888888889,5.380205577752237,18.88888888888889,0.0,1.1111111111111112,39.22222222222222,37.63566457390374,107.48007263844696
27,2.0,2.0,13.0,0.0,1.0,29.0,160.36049058256683,603.3206537460227,3.0,5.793469006744143,16.77777777777778,0.0,0.8888888888888888,39.66666666666666,55.00905241641115,141.22222222222226
28,4.0,1.0,12.0,0.0,1.0,32.0,160.36049058256683,361.0,3.8,6.086059192162442,21.0,0.0,0.8,40.1,50.90814717477004,120.93206537460227
29,4.0,1.0,13.0,0.0,0.0,45.0,160.36049058256683,136.0,5.2,7.9343651543358495,24.7,0.0,0.9,43.2,35.57209811651337,109.9
30,4.0,7.719370860927152,48.0,0.0,0.0,33.0,160.36049058256683,1.0,5.5,6.03373841377687,22.83333333333333,0.0,0.8333333333333334,42.0,56.28683019418894,86.0
31,2.0,7.719370860927152,13.0,0.0,0.0,45.0,160.36049058256683,53.0,3.4444444444444446,6.040060340604741,11.444444444444445,0.0,0.0,46.444444444444436,111.12915318903678,185.3689615273359
32,1.0,7.719370860927152,15.0,0.0,0.0,54.0,160.36049058256683,9.0,2.0,6.337288447387785,11.222222222222221,0.3333333333333333,0.0,55.444444444444436,142.76488051783718,96.48007263844696
33,6.0,7.719370860927152,22.0,3.0,0.0,88.0,160.36049058256683,6.0,3.125,4.769764072847682,39.25,30.25,0.75,60.0,208.915705772433,294.91508171825285
34,39.0,52.0,33.0,13.0,1.0,51.0,160.36049058256683,455.0,30.375,31.25,76.375,49.375,0.75,164.75,23.875,539.1650817182527
35,15.0,38.0,149.0,141.0,2.0,156.0,48.0,286.0,16.125,23.33992135761589,59.375,40.375,0.625,152.875,87.22527651268706,763.2900817182527
36,6.0,4.0,25.0,0.0,1.0,144.0,4.0,1029.0,9.272727272727273,7.804658151765589,36.36363636363637,0.09090909090909093,1.0,196.3636363636364,101.46475658555187,320.27272727272725
37,3.0,2.0,22.0,0.0,0.0,176.0,160.36049058256683,435.0,9.0,9.219326128417036,39.46153846153846,0.07692307692307693,0.4615384615384616,198.46153846153842,57.77787095700543,346.7938964420017
