,index_seg,cycle_lane,is_shared,cycle_way,side_walk,bikable
1897,3652,both,0,,,
1898,3653,,0,,both,
1899,3654,,0,,both,
1900,3655,,0,,both,yes
1901,3656,both,0,,,yes
1902,3657,,0,,,yes
1903,3658,,0,,,yes
1904,3659,,0,,,yes
1905,3660,,0,,,yes
1906,3661,both,0,,,yes
1907,3662,both,0,,,yes
1908,3663,,0,,,yes
1909,3664,,0,,,yes
1910,3665,,0,,,yes
1911,3666,,0,,,yes
1912,3667,,0,,both,
1913,3668,,0,,both,yes
1914,3669,,0,,both,
1915,3670,,0,,both,yes
1916,3671,,0,,both,
1917,3672,,0,,both,
1918,3673,,0,,both,
1919,3674,,0,,both,yes
1920,3677,,0,,right,
1921,3678,,0,,right,
1922,3679,,0,,right,
1923,3680,,0,,right,
1924,3685,,0,,,yes
1925,3686,,0,,,yes
1926,3691,,0,,,yes
1927,3694,,0,,both,
1928,3695,,0,,both,
1929,3696,,0,,both,
1930,3697,,0,,both,
1931,3698,,0,,both,
1932,3699,,0,,both,
1933,3700,,0,,both,
1934,3702,,0,,right,
1935,3703,,0,,right,
1936,3704,,0,,no,
1937,3705,,0,,no,
1938,3706,,0,,no,
1939,3707,,0,,no,
1940,3709,,0,,both,
1941,3715,,0,,both,
1942,3716,,0,,,yes
1943,3732,,0,,no,
1944,3734,,0,,no,yes
1945,3735,,0,,no,
1946,3736,,0,,no,
1947,3742,,0,,right,
1948,3744,,0,,both,yes
1949,3746,,0,,both,
1950,3764,,0,,,yes
1951,3771,,0,,both,
1952,3772,,0,,both,
1953,3773,,0,,both,
1954,3774,,0,,no,
1955,3775,,0,,no,
1956,3776,,0,,no,
1957,3778,,0,,,yes
1958,3785,,0,,,yes
1959,3786,,0,,,yes
1960,3787,,0,,,yes
1961,3788,,0,,,yes
1962,3791,both,0,,,yes
1963,3792,both,0,,,yes
1964,3793,both,0,,,yes
1965,3794,both,0,,,yes
1966,3795,both,0,,,yes
1967,3796,both,0,,,
1968,3808,,0,,both,
1969,3809,,0,,both,
1970,3810,,0,,both,
1971,3811,,0,,both,
1972,3812,,0,,both,
1973,3813,,0,,both,
1974,3814,,0,,both,
1975,3815,,0,,both,
1976,3816,,0,,both,
1977,3817,,0,,both,
1978,3818,,0,,both,
1979,3819,,0,,both,
1980,3820,,0,,both,
1981,3821,,0,,both,
1982,3822,,0,,both,
1983,3823,,0,,both,
1984,3824,,0,,both,
1985,3825,,0,,both,
1986,3826,,0,,,yes
1987,3827,,0,,both,
1988,3828,,0,,both,
1989,3829,,0,,both,
1990,3830,,0,,both,
1991,3831,,0,,both,
1992,3832,,0,,both,
1993,3833,,0,,both,
1994,3834,,0,,both,
1995,3835,,0,,both,
1996,3836,,0,,both,
1997,3837,,0,,both,
1998,3839,,0,,no,
1999,3841,,0,,left,
2000,3844,,0,,,yes
2001,3845,,0,,,yes
2002,3848,,0,,both,
2003,3849,,0,,,no
2004,3850,,0,,,no
2005,3851,,0,,,no
2006,3853,,0,,both,
2007,3854,,0,,left,
2008,3855,,0,,both,
2009,3856,,0,,both,
2010,3857,,0,,both,
2011,3858,,0,,both,
2012,3859,,0,,both,
2013,3860,,0,,both,
2014,3861,,0,,both,
2015,3862,,0,,both,
2016,3863,,0,,both,
2017,3864,,0,,both,
2018,3865,,0,,both,
2019,3866,,0,,both,
2020,3867,,0,,both,
2021,3868,,0,,both,
2022,3869,,0,,both,
2023,3871,,0,,both,yes
2024,3872,,0,,both,
2025,3876,,0,,both,
2026,3877,,0,,both,
2027,3879,,0,,both,
2028,3880,,0,,both,
2029,3881,,0,,both,
2030,3883,,0,,no,
2031,3884,,0,,no,
2032,3885,,0,,both,
2033,3899,,0,,left,
2034,3900,,0,,both,
2035,3902,,0,,,yes
2036,3907,,0,,both,
2037,3908,,0,,both,
2038,3914,,0,,both,yes
2039,3915,,0,,both,yes
2040,3916,,0,,both,yes
2041,3917,,0,,both,yes
2042,3920,,0,,,yes
2043,3921,,0,,,yes
2044,3922,,0,,,yes
2045,3923,,0,,,yes
2046,3924,,0,,,yes
2047,3925,,0,,,yes
2048,3926,,0,,,yes
2049,3927,,0,,,yes
2050,3928,,0,,,yes
2051,3929,,0,,,yes
2052,3930,,0,,,yes
2053,3935,,0,,both,
2054,3936,,0,,both,
2055,3937,,0,,both,
2056,3938,,0,,both,
2057,3939,,0,,both,
2058,3940,,0,,both,
2059,3945,one,0,,both,
2060,3946,one,0,,both,
2061,3947,one,0,,both,
2062,3948,,0,,no,
2063,3949,,0,,no,
2064,3950,,0,,no,
2065,3959,,0,,both,
2066,3960,,0,,both,
2067,3961,,0,,both,
2068,3965,,0,,both,
2069,3966,,0,,both,
2070,3983,,0,,no,
2071,3984,,0,,both,
2072,3985,,0,,no,
2073,3987,,0,,both,
2074,3988,,0,,both,
2075,3989,,0,,both,
2076,3990,,0,,both,
2077,3991,,0,,both,
2078,3992,,0,,both,
2079,3993,,0,,both,
2080,3994,,0,,both,
2081,3995,,0,,both,
2082,3996,,0,,both,
2083,3997,,0,,both,
2084,3998,,0,,both,
2085,3999,,0,,both,
2086,4007,,0,,both,
2087,4008,,0,,both,
2088,4009,,0,,both,
2089,4010,,0,,both,
2090,4011,,0,,both,
2091,4012,,0,,both,yes
2092,4013,,0,,both,
2093,4021,,0,,no,
2094,4022,,0,,no,
2095,4023,,0,,no,
2096,4024,,0,,both,
2097,4027,,0,,both,
2098,4029,,0,,both,
2099,4030,,0,,both,
2100,4031,,0,,both,
2101,4032,,0,,both,
2102,4033,,0,,both,
2103,4034,,0,,both,
2104,4035,,0,,both,
2105,4036,,0,,left,yes
2106,4037,,0,,both,
2107,4038,,0,,both,
2108,4039,,0,,both,
2109,4040,,0,,both,
2110,4041,,0,,both,
2111,4042,,0,,both,
2112,4043,,0,,both,
2113,4044,,0,,both,
2114,4048,,0,,both,
2115,4049,,0,,both,
2116,4050,,0,,both,
2117,4051,,0,,both,
2118,4052,,0,,both,
2119,4059,,0,,,yes
2120,4060,,0,,,yes
2121,4061,,0,,,yes
2122,4062,,0,,,yes
2123,4064,,0,,,yes
2124,4065,,0,,,yes
2125,4066,,0,,,yes
2126,4067,,0,,,yes
2127,4068,,0,,,yes
2128,4069,,0,,,yes
2129,4070,,0,,,yes
2130,4071,,0,,both,
2131,4072,,0,,both,
2132,4074,,0,,both,
2133,4075,,0,,both,
2134,4076,,0,,both,
2135,4077,,0,,both,
2136,4078,,0,,both,
2137,4079,,0,,both,
2138,4080,,0,,both,
2139,4081,,0,,both,
2140,4082,,0,,both,
2141,4083,,0,,both,
2142,4084,,0,,both,
2143,4085,,0,,both,
2144,4088,,0,,both,
2145,4089,,0,,both,
2146,4090,,0,,both,
2147,4091,,0,,both,
2148,4092,,0,,both,
2149,4093,,0,,both,
2150,4094,,0,,both,
2151,4095,,0,,both,
2152,4096,,0,,both,
2153,4097,,0,,both,
2154,4098,,0,,both,
2155,4099,,0,,both,
2156,4100,,0,,right,
2157,4103,,0,,both,
2158,4104,,0,,both,
2159,4105,,0,,both,
2160,4106,,0,,both,
2161,4107,,0,,both,
2162,4108,,0,,both,
2163,4109,,0,,both,
2164,4110,,0,,both,yes
2165,4111,,0,,both,yes
2166,4112,,0,,both,
2167,4113,,0,,both,
2168,4114,,0,,both,
2169,4115,,0,,both,
2170,4121,,0,,,yes
2171,4124,,0,,both,
2172,4125,,0,,both,
2173,4126,,0,,both,
2174,4127,,0,,both,
2175,4128,,0,,both,yes
2176,4129,,0,,both,yes
2177,4130,,0,,,yes
2178,4131,,0,,left,yes
2179,4132,,0,,left,
2180,4144,,0,,no,
2181,4162,,0,,both,
2182,4163,,0,,both,
2183,4164,,0,,both,
2184,4165,,0,,both,
2185,4166,,0,,right,
2186,4170,,0,,no,
2187,4171,,0,,no,yes
2188,4172,,0,,no,yes
2189,4173,,0,,no,yes
2190,4174,,0,,no,yes
2191,4175,,0,,,yes
2192,4179,,0,both,,
2193,4181,,0,,both,
2194,4182,,0,,both,
2195,4183,,0,,both,
2196,4184,,0,,both,
2197,4185,,0,,both,
2198,4186,,0,,both,
2199,4187,,0,,both,
2200,4188,,0,,both,
2201,4189,,0,,both,
2202,4190,,0,,both,
2203,4191,,0,,both,
2204,4192,,0,,both,
2205,4193,,0,,both,
2206,4194,,0,,both,
2207,4195,,0,,both,
2208,4196,,0,,both,
2209,4197,,0,,both,
2210,4202,one,0,,both,
2211,4203,one,0,,both,
2212,4209,,0,,,yes
2213,4212,,0,,both,
2214,4213,,0,,both,
2215,4214,,0,,both,
2216,4215,,0,,both,
2217,4216,,0,,both,
2218,4217,,0,,both,
2219,4218,,0,,both,
2220,4219,,0,,both,
2221,4225,,0,,both,
2222,4226,,0,,both,
2223,4230,,0,,no,
2224,4231,,0,,no,
2225,4233,,0,,both,
2226,4234,,0,,both,
2227,4264,,0,,,yes
2228,4268,,0,,both,
2229,4269,,0,,both,
2230,4275,,0,both,,yes
2231,4276,,0,both,,yes
2232,4280,,0,,no,
2233,4281,,0,,both,
2234,4282,,0,,right,
2235,4294,,0,,no,
2236,4295,,0,,no,
2237,4296,,0,,no,
2238,4300,,0,,no,
2239,4301,,0,,no,
2240,4302,,0,,both,
2241,4303,,0,,both,
2242,4304,,0,,both,
2243,4305,,0,,both,
2244,4306,,0,,no,
2245,4313,,0,,both,
2246,4314,,0,,both,
2247,4315,,0,,both,
2248,4316,,0,,both,
2249,4317,,0,,both,
2250,4318,,0,,both,
2251,4319,,0,,both,
2252,4320,,0,,both,
2253,4321,,0,,both,
2254,4322,,0,,both,
2255,4339,,0,,both,
2256,4340,,0,,both,
2257,4341,,0,,both,
2258,4342,,0,,both,
2259,4343,,0,,both,
2260,4344,,0,,both,
2261,4345,,0,,no,
2262,4353,,0,,no,
2263,4354,both,0,,,
2264,4355,both,0,,,
2265,4356,both,0,,,
2266,4357,both,0,,,
2267,4358,both,0,,,
2268,4359,both,0,,,
2269,4360,both,0,,,
2270,4361,both,0,,,
2271,4362,both,0,,,
2272,4363,both,0,,,yes
2273,4364,,0,,,yes
2274,4371,,0,,both,
2275,4372,,0,,,yes
2276,4373,,0,,both,
2277,4374,,0,,both,
2278,4375,,0,,both,
2279,4376,,0,,both,
2280,4377,,0,,both,
2281,4378,,0,,both,
2282,4379,,0,,both,
2283,4380,,0,,both,
2284,4381,,0,,both,
2285,4382,,0,,both,
2286,4383,,0,,both,
