index_seg,poi_total,crash_total,311_total,311_total_not_parking_meter,v0_total,crime_total,moving_total,parking_total,crime_total_neighbor
93,2.0,1.0,38.0,1.0,0.0,49.0,1.0,23.0,38.642857142857146
94,0.0,1.0,16.0,0.0,0.0,48.0,33.670360110803315,6.0,41.77777777777778
95,25.0,3.0,12.0,7.0,2.0,6.0,160.36049058256683,3499.0,7.666666666666668
96,54.0,9.0,33.0,19.0,5.0,8.0,4.0,204.0,7.5
97,50.0,15.0,254.0,223.0,1.0,77.0,10.0,2062.0,82.83333333333333
98,24.0,8.0,424.0,404.0,1.0,72.0,14.0,158.0,93.125
99,15.0,4.0,169.0,150.0,0.0,69.0,11.0,4700.0,122.0
100,25.0,18.0,356.0,315.0,1.0,373.0,7.0,1556.0,267.54545454545456
101,20.0,32.0,72.0,39.0,1.0,396.0,7.0,603.3206537460227,383.7
102,30.0,24.0,31.0,7.0,2.0,534.0,160.36049058256683,2851.0,448.5
103,20.0,8.0,58.0,36.0,0.0,649.0,5.0,4640.0,493.4285714285714
104,15.0,7.0,67.0,44.0,0.0,519.0,11.0,827.0,511.2
105,1.0,2.0,34.0,0.0,0.0,59.0,3.0,37.0,72.3
106,5.0,5.0,54.0,0.0,0.0,63.0,2.0,78.0,68.5
107,4.0,5.0,61.0,0.0,1.0,86.0,2.0,107.0,72.8
108,1.0,2.0,41.0,4.0,0.0,98.0,160.36049058256683,180.0,83.6
109,6.0,6.0,42.0,4.0,0.0,89.0,6.0,38.0,107.57142857142857
110,8.0,10.0,45.0,0.0,1.0,92.0,2.0,138.0,77.57142857142857
111,5.0,9.0,18.0,2.0,1.0,56.0,160.36049058256683,2.0,61.05263157894736
112,3.0,7.719370860927152,5.0,2.0,0.0,38.0,160.36049058256683,39.0,54.11764705882353
113,3.0,7.719370860927152,4.0,0.0,0.0,53.0,1.0,7.0,48.66666666666666
114,1.0,1.0,9.0,0.0,0.0,43.0,160.36049058256683,28.0,47.72727272727273
115,1.0,1.0,21.0,0.0,0.0,47.0,160.36049058256683,57.0,44.55555555555557
116,1.0,1.0,20.0,0.0,0.0,37.0,160.36049058256683,11.0,48.33333333333334
117,1.0,2.0,11.0,0.0,0.0,39.0,160.36049058256683,19.0,45.714285714285715
118,1.0,7.719370860927152,17.0,1.0,0.0,28.0,2.0,43.0,45.33333333333334
119,2.0,7.719370860927152,15.0,0.0,0.0,41.0,160.36049058256683,64.0,48.5
120,4.0,7.719370860927152,12.0,0.0,1.0,34.0,160.36049058256683,2.0,75.0
121,7.0,7.719370860927152,13.0,1.0,1.0,167.0,160.36049058256683,190.0,100.2
122,6.0,2.0,6.0,1.0,1.0,76.0,160.36049058256683,347.0,100.5
123,13.0,1.0,52.0,38.0,2.0,110.0,4.0,442.0,103.0
124,35.0,2.0,103.0,61.0,2.0,118.0,6.0,143.0,117.44444444444444
125,26.0,2.0,31.0,9.0,3.0,95.0,160.36049058256683,37.0,123.44444444444444
126,40.0,9.0,1193.0,1164.0,1.0,127.0,2.0,12635.0,120.875
127,39.0,8.0,940.0,909.0,1.0,99.0,17.0,5908.0,150.5
128,39.0,7.0,724.0,696.0,1.0,113.0,7.0,7870.0,163.33333333333334
129,43.0,22.0,296.0,229.0,2.0,497.0,12.0,1058.0,311.57142857142856
130,35.0,8.0,83.0,47.0,2.0,170.0,7.0,603.3206537460227,361.21428571428567
131,31.0,5.0,16.0,2.0,2.0,167.0,160.36049058256683,603.3206537460227,363.3846153846154
132,45.0,21.0,54.0,10.0,2.0,259.0,160.36049058256683,6107.0,360.9285714285714
133,55.0,34.0,229.0,188.0,2.0,363.0,26.0,1461.0,360.41666666666674
134,20.0,8.0,20.0,2.0,4.0,332.0,25.0,603.3206537460227,356.45454545454544
135,22.0,15.0,26.0,3.0,3.0,290.0,160.36049058256683,603.3206537460227,360.27272727272725
136,18.0,13.0,56.0,2.0,1.0,473.0,15.0,871.0,313.8181818181818
137,12.0,4.0,21.0,2.0,0.0,279.0,30.0,89.0,296.0
138,12.0,2.0,38.0,2.0,0.0,248.0,5.0,352.0,240.875
139,12.0,2.0,63.0,0.0,1.0,231.0,25.0,733.0,190.85714285714286
140,7.0,3.0,49.0,0.0,0.0,167.0,325.0,989.0,201.625
141,14.0,20.0,104.0,5.0,1.0,403.0,160.36049058256683,603.3206537460227,260.0
142,18.0,28.0,99.0,8.0,2.0,217.0,160.36049058256683,726.0,182.7142857142857
143,11.0,6.0,36.0,6.0,1.0,195.0,64.0,15.0,167.5
144,8.0,4.0,30.0,0.0,0.0,198.0,1.0,27.0,181.27272727272728
145,8.0,2.0,20.0,1.0,2.0,114.0,160.36049058256683,85.0,133.76923076923077
146,6.0,7.719370860927152,25.0,0.0,0.0,118.0,160.36049058256683,526.0,132.61538461538458
147,15.0,4.0,30.0,0.0,0.0,194.0,4.0,599.0,154.9230769230769
148,5.0,5.0,35.0,0.0,0.0,251.0,3.0,617.0,199.66666666666663
149,4.0,1.0,34.0,1.0,1.0,214.0,2.0,22.0,218.8125
150,9.0,7.719370860927152,22.0,0.0,1.0,198.0,160.36049058256683,570.0,214.52941176470588
151,7.0,5.0,117.0,0.0,7.0,253.0,1.0,339.0,216.375
152,2.0,3.0,54.0,0.0,2.0,166.0,2.0,7.0,176.13333333333333
153,2.0,1.0,47.0,0.0,2.0,140.0,160.36049058256683,228.0,160.2
154,2.0,7.0,50.0,1.0,1.0,150.0,6.0,5.0,148.42857142857142
155,3.0,10.0,31.0,0.0,0.0,146.0,160.36049058256683,298.0,146.0
156,8.0,22.0,46.0,2.0,0.0,155.0,21.0,1369.0,147.9090909090909
157,8.0,14.0,30.0,13.0,0.0,111.0,12.0,3.0,144.0
158,7.0,11.0,25.0,10.0,2.0,83.0,160.36049058256683,728.0,104.0
159,6.0,16.0,61.0,44.0,3.0,32.0,17.0,1642.0,91.0
160,8.0,5.0,9.0,2.0,4.0,80.0,6.0,5.0,0.0
161,6.0,7.719370860927152,30.0,0.0,0.0,24.0,160.36049058256683,28.0,31.461538461538463
162,3.0,1.0,25.0,0.0,1.0,43.0,1.0,603.3206537460227,37.23529411764706
163,3.0,7.719370860927152,18.0,0.0,3.0,45.0,160.36049058256683,65.0,39.631578947368425
164,3.0,2.0,38.0,2.0,0.0,67.0,1.0,88.0,53.375
165,2.0,3.0,63.0,2.0,0.0,68.0,2.0,73.0,61.41666666666666
166,2.0,2.0,62.0,0.0,0.0,54.0,160.36049058256683,92.0,60.111111111111114
167,1.0,7.719370860927152,61.0,0.0,0.0,54.0,2.0,53.0,54.4
168,2.0,1.0,35.0,0.0,0.0,50.0,1.0,52.0,44.33333333333334
169,6.0,1.0,33.0,0.0,2.0,37.0,160.36049058256683,603.3206537460227,41.72727272727273
170,5.0,1.0,27.0,0.0,2.0,36.0,160.36049058256683,81.0,43.83333333333334
171,4.0,2.0,30.0,0.0,2.0,53.0,160.36049058256683,56.0,51.81818181818182
172,2.0,7.719370860927152,13.0,0.0,0.0,81.0,2.0,388.0,60.45454545454545
173,2.0,7.719370860927152,10.0,0.0,0.0,85.0,1.0,9.0,83.2
174,2.0,2.0,30.0,0.0,0.0,80.0,160.36049058256683,105.0,91.25
175,0.0,1.0,43.0,0.0,0.0,85.0,160.36049058256683,44.0,82.0
176,1.0,3.0,10.0,1.0,0.0,71.0,33.670360110803315,42.0,66.05882352941177
177,3.0,3.9464831804281344,28.0,0.0,0.0,32.0,1.0,9.0,29.66666666666667
178,3.0,1.0,16.0,0.0,0.0,44.0,33.670360110803315,22.0,27.66666666666667
179,29.0,7.719370860927152,470.0,470.0,2.0,4.0,4.0,892.0,7.0
180,47.0,1.0,481.0,475.0,2.0,5.0,23.0,603.3206537460227,7.7142857142857135
181,50.0,13.0,99.0,72.0,3.0,7.0,160.36049058256683,1901.0,95.14285714285714
182,38.0,16.0,340.0,316.0,1.0,10.0,54.0,628.0,181.14285714285717
183,23.0,27.0,91.0,55.0,0.0,21.0,9.0,4909.0,45.0
184,26.0,34.0,412.0,353.0,1.0,65.0,20.0,1319.0,59.0
185,28.0,16.0,137.0,95.0,1.0,96.0,8.0,978.0,76.83333333333333
186,16.0,7.0,67.0,45.0,0.0,91.0,1.0,618.0,88.5
187,28.0,13.0,83.0,15.0,2.0,132.0,1.0,2788.0,254.0909090909091
188,12.0,1.0,90.0,72.0,0.0,195.0,12.0,3160.0,356.6
189,13.0,2.0,61.0,45.0,0.0,261.0,76.0,30.0,351.33333333333326
190,11.0,21.0,126.0,9.0,1.0,102.0,1.0,90.0,160.4375
191,9.0,14.0,40.0,7.0,0.0,151.0,11.0,603.3206537460227,148.0909090909091
192,13.0,7.719370860927152,22.0,1.0,1.0,144.0,160.36049058256683,1.0,165.0
193,6.0,1.0,45.0,1.0,0.0,127.0,6.0,706.0,123.0909090909091
194,4.0,1.0,34.0,0.0,0.0,154.0,2.0,24.0,153.0
195,5.0,1.0,23.0,0.0,0.0,163.0,2.0,518.0,186.1
196,11.0,2.0,27.0,0.0,0.0,224.0,9.0,370.0,197.625
197,8.0,10.0,42.0,0.0,1.0,206.0,3.0,1075.0,200.25
198,10.0,1.0,6.0,0.0,0.0,184.0,160.36049058256683,603.3206537460227,205.27777777777771
199,11.0,14.0,15.0,0.0,0.0,181.0,6.0,603.3206537460227,206.3125
200,13.0,14.0,39.0,1.0,1.0,187.0,1.0,1129.0,168.75
201,11.0,2.0,25.0,0.0,0.0,131.0,5.0,106.0,139.71428571428572
202,12.0,7.719370860927152,24.0,0.0,0.0,151.0,160.36049058256683,14.0,148.33333333333334
203,4.0,1.0,21.0,0.0,1.0,29.0,160.36049058256683,101.0,37.0
204,1.0,1.0,36.0,0.0,0.0,61.0,160.36049058256683,193.0,46.92857142857143
205,2.0,2.0,77.0,0.0,0.0,70.0,1.0,184.0,64.9090909090909
206,3.0,3.0,65.0,0.0,0.0,87.0,1.0,111.0,71.75
207,1.0,2.0,141.0,0.0,0.0,88.0,160.36049058256683,245.0,74.625
208,0.0,3.0,60.0,0.0,0.0,60.0,160.36049058256683,41.0,62.66666666666666
209,4.0,2.0,26.0,0.0,0.0,62.0,1.0,315.0,65.63636363636364
210,1.0,1.0,17.0,0.0,0.0,73.0,2.0,13.0,74.53846153846153
211,0.0,1.0,12.0,0.0,0.0,70.0,1.0,187.0,84.77777777777777
212,0.0,7.719370860927152,49.0,0.0,0.0,87.0,2.0,124.0,87.7142857142857
213,2.0,7.719370860927152,47.0,0.0,0.0,67.0,160.36049058256683,60.0,81.14285714285714
214,5.0,2.0,67.0,0.0,1.0,62.0,160.36049058256683,82.0,71.71428571428571
215,6.0,1.0,67.0,0.0,1.0,60.0,8.0,29.0,73.1
216,6.0,3.0,43.0,0.0,1.0,65.0,160.36049058256683,2.0,79.15384615384616
217,6.0,1.0,46.0,24.0,2.0,51.0,160.36049058256683,64.0,81.27272727272727
218,12.0,6.0,51.0,24.0,1.0,88.0,21.0,96.0,79.66666666666667
219,13.0,14.0,18.0,0.0,0.0,74.0,1.0,7.0,77.625
220,5.0,9.0,20.0,1.0,0.0,73.0,160.36049058256683,59.0,70.63157894736842
221,4.0,4.0,52.0,27.0,0.0,69.0,3.0,11.0,57.42105263157895
222,3.0,1.0,43.0,33.0,3.0,27.0,160.36049058256683,26.0,54.375
223,4.0,7.719370860927152,27.0,13.0,4.0,39.0,1.0,7.0,35.5
224,3.0,1.0,17.0,0.0,1.0,33.0,2.0,26.0,40.375
225,3.0,1.0,21.0,0.0,4.0,38.0,160.36049058256683,22.0,35.25
226,2.0,1.0,15.0,0.0,2.0,29.0,12.0,7.0,36.333333333333336
227,3.0,1.0,20.0,0.0,2.0,36.0,2.0,114.0,43.83333333333334
228,13.0,1.0,22.0,0.0,5.0,49.0,1.0,57.0,53.14285714285714
229,5.0,7.719370860927152,11.0,0.0,3.0,42.0,3.0,29.0,49.83333333333334
230,5.0,1.0,5.0,0.0,2.0,28.0,4.0,15.0,36.2
231,9.0,7.719370860927152,20.0,0.0,2.0,39.0,23.0,29.0,49.714285714285715
232,4.0,7.719370860927152,38.0,0.0,0.0,116.0,160.36049058256683,28.0,237.5555555555556
