,poi_total_neighbor,crash_total_neighbor,311_total_neighbor,311_total_not_parking_meter_neighbor,v0_total_neighbor,crime_total_neighbor,moving_total_neighbor,parking_total_neighbor
5337,26.777777777777782,25.66666666666667,56.77777777777778,16.88888888888889,0.8888888888888888,184.66666666666663,72.3423857497445,927.2222222222223
5338,24.0,21.5,92.6,51.4,0.9,304.9,44.37209811651336,1499.4320653746024
5339,25.75,23.41666666666667,128.25,84.0,1.1666666666666667,371.41666666666674,41.31008176376114,2354.7767211455016
5340,30.5,17.339921357615893,150.5,112.25,1.375,477.125,139.6104604811496,988.30220291019
5341,38.615384615384606,18.879903209373406,163.46153846153842,121.53846153846152,1.0769230769230769,354.0,72.03399710232826,1674.0045331364279
5342,37.07142857142857,17.174195837275306,155.28571428571428,115.85714285714286,1.0714285714285714,354.1428571428572,102.30315531655457,1769.5042093409686
5343,39.4,19.895916114790285,182.4,140.6,1.1333333333333333,355.53333333333336,101.0829449621176,1941.4556831042025
5344,37.125,31.0,284.625,246.25,1.5,435.0,54.295061322820864,2214.7051634365052
5345,20.625,18.5,175.625,144.5,2.875,355.125,53.4651226456417,2106.995245154759
5346,29.1875,18.08992135761589,133.5,94.4375,2.625,342.875,64.23765330705214,1447.5946620510633
5347,31.75,14.589921357615893,126.0,86.1875,2.5,333.0625,62.23765330705214,1226.8161831733478
5348,35.388888888888886,15.802152317880793,115.55555555555556,71.83333333333333,2.6111111111111107,326.3888888888889,56.04458071737969,1446.6521265015301
5349,8.0,8.654545454545454,9.5,0.0,0.0,0.0,11.051282051282053,27.24242424242424
5350,9.4,8.123636363636363,22.0,0.0,0.0,12.8,11.441025641025641,208.5939393939394
5351,4.0,7.719370860927152,1.0,0.0,0.0,3.0,160.36049058256685,4.0
5352,2.8571428571428568,3.571428571428572,20.0,0.42857142857142855,1.2857142857142858,9.142857142857142,134.48007008322384,180.1886648208604
5353,2.6,5.72899813912758,16.4,0.1,0.9,11.4,209.20463865332604,254.09619612380683
5354,3.375,4.144764072847682,16.5,0.25,0.125,31.625,82.05524529128341,238.9551634365057
