column,,column,knn,I,p_norm,p_rand,z_norm,z_rand,ftr_type
311_MARKING INSTALLATION,1020,311_MARKING INSTALLATION,1,0.35953494029122646,0.0,0.0,34.0375076735663,34.25768051618023,311
v0ur_Car Driver,1570,v0ur_Car Driver,1,0.3543848447847216,0.0,0.0,33.55004361009417,34.113589293482775,v0
v0rq_Accessibility Issue,1591,v0rq_Accessibility Issue,2,0.3539477756009602,0.0,0.0,45.21713815441456,45.409891330665275,v0
311_SAFE ROUTES TO SCHOO,1280,311_SAFE ROUTES TO SCHOO,1,0.34903517406647283,0.0,0.0,33.04368946127077,33.09793522825621,311
d_page_rank_SgAsNd,290,d_page_rank_SgAsNd,1,0.3448952337737214,0.0,0.0,32.65183806451751,36.627030682337754,net_SaN
crash_evt_NON_COLLISION,750,crash_evt_NON_COLLISION,1,0.33067791926213796,0.0,0.0,31.306148475902248,31.440952335622317,crash
311_ROADWAY LIGHTING ,1170,311_ROADWAY LIGHTING ,1,0.32373656275420476,0.0,0.0,30.649138941789314,30.78656622433568,311
311_TRAFFIC CALMING,1450,311_TRAFFIC CALMING,1,0.31597082367393575,0.0,0.0,29.914100392863187,29.97574060318398,311
311_TREE REMOVAL,1530,311_TREE REMOVAL,1,0.3138046780511506,0.0,0.0,29.709071545141516,30.83729532775977,311
311_CURB GUTTER REPAIR,940,311_CURB GUTTER REPAIR,1,0.3136654920014744,0.0,0.0,29.69589738220258,29.993050928671114,311
v0rq_Speeding,1740,v0rq_Speeding,1,0.3116071749523707,0.0,0.0,29.50107466650677,29.67562236551854,v0
311_SIGN REMOVAL,1352,311_SIGN REMOVAL,3,0.3107020855047983,0.0,0.0,47.56476591606834,48.24876129502216,311
crash_1stharm_Pedestrian,821,crash_1stharm_Pedestrian,2,0.3104876631948021,0.0,0.0,39.666230640381656,40.0326946709554,crash
d_far_cntr_SgAsNd,241,d_far_cntr_SgAsNd,2,0.3102851663781739,0.0,0.0,39.640366899154195,39.65041135130272,net_SaN
311_DDOT CITATION,951,311_DDOT CITATION,2,0.30602543536837246,0.0,0.0,39.096296220066044,39.15744284482575,311
Existing Bike Lane,616,Existing Bike Lane,7,0.2948976282682943,0.0,0.0,66.91659751870216,69.41796372012004,bk_opendc
crash_1stharm_Other Non-fixed Object,800,crash_1stharm_Other Non-fixed Object,1,0.29266763545564917,0.0,0.0,27.708419584343353,28.045037062518798,crash
311_MARKING REMOVAL,1050,311_MARKING REMOVAL,1,0.2923808193640258,0.0,0.0,27.68127202226119,27.731658993661885,311
DIRECTIONALITY_Bi-direction,11,DIRECTIONALITY_Bi-direction,2,0.28840138387763414,0.0,0.0,36.84527857580933,42.304171071992855,seg_attr
v0rq_Other Walking Issue,1710,v0rq_Other Walking Issue,1,0.2860588235110271,0.0,0.0,27.082885878962617,27.267961836078012,v0
311_ROADWAY MARKINGS,1180,311_ROADWAY MARKINGS,1,0.28504103627218635,0.0,0.0,26.986550829919594,27.157361354382743,311
cycle_lane_right,470,cycle_lane_right,1,0.2840839314827754,0.0,0.0,26.89595946336617,26.92330796414643,bk_osm
311_UTILITY REPAIR,1541,311_UTILITY REPAIR,2,0.2836940350537888,0.0,0.0,36.24403627543842,37.17663373529139,311
STREETTYPE_RD,135,STREETTYPE_RD,6,0.28089913421338947,0.0,0.0,59.02994614213703,61.76703343347645,seg_attr
DIRECTIONALITY_one-way,25,DIRECTIONALITY_one-way,6,0.27569496740365906,0.0,0.0,57.93659701411009,65.14031939405442,seg_attr
311_ALLEY REPAIR,840,311_ALLEY REPAIR,1,0.27480491310915656,0.0,0.0,26.017686818572727,26.2829200821381,311
crash_1stharm_Hit and Run,773,crash_1stharm_Hit and Run,4,0.270734829279205,0.0,0.0,47.125112065631505,47.33181996647189,crash
FAILURE TO DISPLAY CURRENT TAGS,2013,FAILURE TO DISPLAY CURRENT TAGS,4,0.2706519757115971,0.0,0.0,47.11069420392552,47.44416883499243,parking
FAIL TO REPORT FOR INSPECTION.,2005,FAIL TO REPORT FOR INSPECTION.,6,0.2700315981499586,0.0,0.0,56.7467735396491,57.030253636773004,parking
STREETTYPE_WAY,163,STREETTYPE_WAY,4,0.2694627599150491,0.0,0.0,46.90375140848256,46.94169185218158,seg_attr
STREETTYPE_ST,145,STREETTYPE_ST,6,0.26446219403965887,0.0,0.0,55.57669130549771,152.88648111752116,seg_attr
v0rq_Other Biking Issue,1692,v0rq_Other Biking Issue,3,0.2637740102981136,0.0,0.0,40.38234966689255,40.759795270600655,v0
STREETTYPE_DR,86,STREETTYPE_DR,7,0.25615659510773653,0.0,0.0,58.12789299554032,58.76707650888617,seg_attr
STAND OR PARK IN ALLEY,2287,STAND OR PARK IN ALLEY,8,0.255378075578662,0.0,0.0,61.910001171403565,61.99274099876402,parking
