,column,db_nb,I,EI,p_norm,p_rand,p_sim,p_z_sim
210,ud_bridge_SgAsEg,100,0.19743423468159305,-7.395902669920864e-05,0.0,0.0,0.002,0.0
211,ud_bridge_SgAsEg,150,0.18249168947475114,-7.395902669920864e-05,0.0,0.0,0.002,0.0
212,ud_bridge_SgAsEg,200,0.1689298762712267,-7.395902669920864e-05,0.0,0.0,0.002,0.0
213,ud_bridge_SgAsEg,300,0.14562616313251528,-7.395902669920864e-05,0.0,0.0,0.002,0.0
214,ud_bridge_SgAsEg,400,0.12461653637026918,-7.395902669920864e-05,0.0,0.0,0.002,0.0
215,ud_btw_cntr_SgAsEg,100,0.10104325583856888,-7.395902669920864e-05,0.0,0.0,0.002,0.0
216,ud_btw_cntr_SgAsEg,150,0.11865267520790934,-7.395902669920864e-05,0.0,0.0,0.002,0.0
217,ud_btw_cntr_SgAsEg,200,0.123651399444703,-7.395902669920864e-05,0.0,0.0,0.002,0.0
218,ud_btw_cntr_SgAsEg,300,0.1292496090077189,-7.395902669920864e-05,0.0,0.0,0.002,0.0
219,ud_btw_cntr_SgAsEg,400,0.1140800055997075,-7.395902669920864e-05,0.0,0.0,0.002,0.0
220,is_shared,100,0.14361966658007477,-7.395902669920864e-05,0.0,0.0,0.002,0.0
221,is_shared,150,0.20365894496339235,-7.395902669920864e-05,0.0,0.0,0.002,0.0
222,is_shared,200,0.15740536813397743,-7.395902669920864e-05,0.0,0.0,0.002,0.0
223,is_shared,300,0.12070352186194731,-7.395902669920864e-05,0.0,0.0,0.002,0.0
224,is_shared,400,0.09917023387056552,-7.395902669920864e-05,0.0,0.0,0.002,0.0
225,cycle_lane_both,100,0.1984644298022598,-7.395902669920864e-05,0.0,0.0,0.002,0.0
226,cycle_lane_both,150,0.20629763526356532,-7.395902669920864e-05,0.0,0.0,0.002,0.0
227,cycle_lane_both,200,0.17679092032528526,-7.395902669920864e-05,0.0,0.0,0.002,0.0
228,cycle_lane_both,300,0.14532666050559453,-7.395902669920864e-05,0.0,0.0,0.002,0.0
229,cycle_lane_both,400,0.12154755269701663,-7.395902669920864e-05,0.0,0.0,0.002,0.0
230,cycle_lane_one,100,0.2079057685420566,-7.395902669920864e-05,0.0,0.0,0.002,0.0
231,cycle_lane_one,150,0.22324377900630388,-7.395902669920864e-05,0.0,0.0,0.002,0.0
232,cycle_lane_one,200,0.21095427158799823,-7.395902669920864e-05,0.0,0.0,0.002,0.0
233,cycle_lane_one,300,0.18757262957809562,-7.395902669920864e-05,0.0,0.0,0.002,0.0
234,cycle_lane_one,400,0.1698036781025718,-7.395902669920864e-05,0.0,0.0,0.002,0.0
235,cycle_lane_right,100,0.2643567346882632,-7.395902669920864e-05,0.0,0.0,0.002,0.0
236,cycle_lane_right,150,0.19782584681571252,-7.395902669920864e-05,0.0,0.0,0.002,0.0
237,cycle_lane_right,200,0.16993697737207045,-7.395902669920864e-05,0.0,0.0,0.002,0.0
238,cycle_lane_right,300,0.12896217052446177,-7.395902669920864e-05,0.0,0.0,0.002,0.0
239,cycle_lane_right,400,0.10545227090903035,-7.395902669920864e-05,0.0,0.0,0.002,0.0
240,cycle_way_both,100,0.21860132444499483,-7.395902669920864e-05,0.0,0.0,0.002,0.0
241,cycle_way_both,150,0.2288551681980446,-7.395902669920864e-05,0.0,0.0,0.002,0.0
242,cycle_way_both,200,0.1942362600614624,-7.395902669920864e-05,0.0,0.0,0.002,0.0
243,cycle_way_both,300,0.1671692871556113,-7.395902669920864e-05,0.0,0.0,0.002,0.0
244,cycle_way_both,400,0.14031620887023502,-7.395902669920864e-05,0.0,0.0,0.002,0.0
245,cycle_way_one,100,0.16049658564230992,-7.395902669920864e-05,0.0,0.0,0.002,0.0
246,cycle_way_one,150,0.17788277012722262,-7.395902669920864e-05,0.0,0.0,0.002,0.0
247,cycle_way_one,200,0.16360905567825915,-7.395902669920864e-05,0.0,0.0,0.002,0.0
248,cycle_way_one,300,0.1249863550241649,-7.395902669920864e-05,0.0,0.0,0.002,0.0
249,cycle_way_one,400,0.10113866841929517,-7.395902669920864e-05,0.0,0.0,0.002,0.0
250,cycle_way_right,100,0.04051685913546718,-7.395902669920864e-05,1.816180050795424e-07,1.8009192892520787e-07,0.01,4.440892098500626e-16
251,cycle_way_right,150,0.21165643385574257,-7.395902669920864e-05,0.0,0.0,0.002,0.0
252,cycle_way_right,200,0.16450017167057654,-7.395902669920864e-05,0.0,0.0,0.002,0.0
