,column,db_b,I,EI,p_norm,p_rand,p_sim,p_z_sim
122,d_far_cntr_SgAsNd,200,0.17574172554752185,-7.395902669920864e-05,0.0,0.0,0.002,0.0
123,d_far_cntr_SgAsNd,300,0.07878354629904223,-7.395902669920864e-05,0.0,0.0,0.002,0.0
124,d_far_cntr_SgAsNd,400,0.04921796050040572,-7.395902669920864e-05,0.0,0.0,0.002,0.0
125,d_hub_score_SgAsNd,100,0.7578303682130281,-7.395902669920864e-05,0.0,0.0,0.002,0.0
126,d_hub_score_SgAsNd,150,0.5934528662280439,-7.395902669920864e-05,0.0,0.0,0.002,0.0
127,d_hub_score_SgAsNd,200,0.48176043337400254,-7.395902669920864e-05,0.0,0.0,0.002,0.0
128,d_hub_score_SgAsNd,300,0.31953168829299783,-7.395902669920864e-05,0.0,0.0,0.002,0.0
129,d_hub_score_SgAsNd,400,0.21645058376001078,-7.395902669920864e-05,0.0,0.0,0.002,0.0
130,d_in_deg_SgAsNd,100,0.47398871747986326,-7.395902669920864e-05,0.0,0.0,0.002,0.0
131,d_in_deg_SgAsNd,150,0.42994377188868577,-7.395902669920864e-05,0.0,0.0,0.002,0.0
132,d_in_deg_SgAsNd,200,0.3792959325114542,-7.395902669920864e-05,0.0,0.0,0.002,0.0
133,d_in_deg_SgAsNd,300,0.30442333393154786,-7.395902669920864e-05,0.0,0.0,0.002,0.0
134,d_in_deg_SgAsNd,400,0.25532997081595865,-7.395902669920864e-05,0.0,0.0,0.002,0.0
135,d_node_ecc_SgAsNd,100,0.7159934422412351,-7.395902669920864e-05,0.0,0.0,0.002,0.0
136,d_node_ecc_SgAsNd,150,0.6804723118451059,-7.395902669920864e-05,0.0,0.0,0.002,0.0
137,d_node_ecc_SgAsNd,200,0.663507389085019,-7.395902669920864e-05,0.0,0.0,0.002,0.0
138,d_node_ecc_SgAsNd,300,0.636636321580585,-7.395902669920864e-05,0.0,0.0,0.002,0.0
139,d_node_ecc_SgAsNd,400,0.6099732366590306,-7.395902669920864e-05,0.0,0.0,0.002,0.0
140,d_out_deg_SgAsNd,100,0.46459626940125726,-7.395902669920864e-05,0.0,0.0,0.002,0.0
