,column,db_b,I,EI,p_norm,p_rand,z_norm,z_rand,p_sim,p_z_sim
405,Bus/Bike Lane,400,0.11122159409411007,-7.395902669920864e-05,0.0,0.0,60.48331730639478,60.47709279101938,0.002,0.0
406,Climbing Lane,10,0.003716920234671828,-7.395902669920864e-05,1.9681757442099355,1.9681233138056666,0.019944216974546212,0.019977079403990666,0.38,0.9962132411107173
407,Climbing Lane,50,0.15547032846603526,-7.395902669920864e-05,3.9968028886505635e-14,3.6415315207705135e-14,7.650066119895999,7.6626207863028934,0.01,5.402841263268954e-08
408,Climbing Lane,100,0.16392123516590373,-7.395902669920864e-05,0.0,0.0,21.926805858089455,21.961862878761124,0.002,0.0
409,Climbing Lane,150,0.16342536826614318,-7.395902669920864e-05,0.0,0.0,33.79969421615795,33.851427348007746,0.002,0.0
410,Climbing Lane,200,0.12824237935932695,-7.395902669920864e-05,0.0,0.0,35.32951207399063,35.38037786007141,0.002,0.0
411,Climbing Lane,300,0.09635149966769216,-7.395902669920864e-05,0.0,0.0,39.62100031613904,39.667926300407544,0.002,0.0
412,Climbing Lane,400,0.0656493216389317,-7.395902669920864e-05,0.0,0.0,35.717168632978805,35.74707882761265,0.002,0.0
413,Contraflow Bike Lane,10,0.003190147637065064,-7.395902669920864e-05,1.97259750599112,1.9725535582939324,0.01717281059134346,0.017200354794122356,0.302,0.6977306189860988
414,Contraflow Bike Lane,50,-0.0005067260314879891,-7.395902669920864e-05,1.9660372748057222,1.9659830328027006,-0.021284588810747306,-0.021318587658104408,0.168,0.9940609215706728
415,Contraflow Bike Lane,100,0.13173124219165985,-7.395902669920864e-05,0.0,0.0,17.62287652653502,17.650280943218686,0.002,0.0
416,Contraflow Bike Lane,150,0.14242686031226304,-7.395902669920864e-05,0.0,0.0,29.458739671644793,29.502539366416116,0.002,0.0
417,Contraflow Bike Lane,200,0.10255037581494486,-7.395902669920864e-05,0.0,0.0,28.255697773775957,28.295142734526905,0.002,0.0
418,Contraflow Bike Lane,300,0.10521356050096616,-7.395902669920864e-05,0.0,0.0,43.26240083246571,43.311748170831684,0.002,0.0
419,Contraflow Bike Lane,400,0.0929856559220464,-7.395902669920864e-05,0.0,0.0,50.57303783958203,50.61317988225991,0.002,0.0
420,Cycle Track,10,0.005353159851301117,-7.395902669920864e-05,1.9544427581665267,1.9543197080643417,0.02855264675729809,0.02862978849726342,0.496,0.9874694410788014
421,Cycle Track,50,0.0496394444410945,-7.395902669920864e-05,0.02896782539053966,0.028442792851721244,2.4450324065514355,2.451622009892358,0.082,0.00918355931479442
422,Cycle Track,100,0.14415378460351827,-7.395902669920864e-05,0.0,0.0,19.283819562516914,19.33497541083886,0.002,0.0
423,Cycle Track,150,0.24571278537013344,-7.395902669920864e-05,0.0,0.0,50.81070938058595,50.94202288437417,0.002,0.0
424,Cycle Track,200,0.2072392833522735,-7.395902669920864e-05,0.0,0.0,57.079837157539146,57.222151889062935,0.002,0.0
425,Cycle Track,300,0.16522942399945947,-7.395902669920864e-05,0.0,0.0,67.92278180284394,68.07472961931339,0.002,0.0
426,Cycle Track,400,0.1290313066540439,-7.395902669920864e-05,0.0,0.0,70.16196542568568,70.29450213133813,0.002,0.0
427,Existing Bike Lane,10,-0.013035130289706383,-7.395902669920864e-05,1.891268625450475,1.8871944078188758,-0.06819009366712912,-0.0707493998579749,0.772,0.963651367254754
428,Existing Bike Lane,50,0.290961699003824,-7.395902669920864e-05,0.0,0.0,14.313878465545972,14.850991323808092,0.002,0.0
429,Existing Bike Lane,100,0.2821597427351204,-7.395902669920864e-05,0.0,0.0,37.73576180453995,39.1501434688333,0.002,0.0
430,Existing Bike Lane,150,0.28781394937680854,-7.395902669920864e-05,0.0,0.0,59.51414867377152,61.740374871219345,0.002,0.0
431,Existing Bike Lane,200,0.257416551587304,-7.395902669920864e-05,0.0,0.0,70.89521270711475,73.54002125788931,0.002,0.0
432,Existing Bike Lane,300,0.21201785932591863,-7.395902669920864e-05,0.0,0.0,87.14804280716744,90.37443826681229,0.002,0.0
433,Existing Bike Lane,400,0.17857336090306214,-7.395902669920864e-05,0.0,0.0,97.08548306076482,100.64232558568027,0.002,0.0
434,Shared Lane,10,-0.019366929066542516,-7.395902669920864e-05,1.8383033730385454,1.8368606979986377,-0.10150235711250033,-0.10241113083296176,0.708,0.9276836097113416
435,Shared Lane,50,0.20281601711260758,-7.395902669920864e-05,0.0,0.0,9.978648252204817,10.067920742405784,0.002,0.0
436,Shared Lane,100,0.2012751096545658,-7.395902669920864e-05,0.0,0.0,26.921166564772147,27.160871484215427,0.002,0.0
437,Shared Lane,150,0.20319325077341155,-7.395902669920864e-05,0.0,0.0,42.02078167031173,42.39201295793209,0.002,0.0
438,Shared Lane,200,0.16192629997386437,-7.395902669920864e-05,0.0,0.0,44.60375177735984,44.99366308505232,0.002,0.0
439,Shared Lane,300,0.1154661071034273,-7.395902669920864e-05,0.0,0.0,47.47514876934404,47.87776887264829,0.002,0.0
440,Shared Lane,400,0.08977605192749018,-7.395902669920864e-05,0.0,0.0,48.82878578829033,49.22556877727155,0.002,0.0
441,art,10,0.02505044689548744,-7.395902669920864e-05,1.7896804256145589,1.7884382183477214,0.1321821584176326,0.13296746749382574,0.416,0.835660038681102
442,art,50,0.2781756580141345,-7.395902669920864e-05,0.0,0.0,13.685028248289397,13.766240010916311,0.002,0.0
443,art,100,0.3530567931329001,-7.395902669920864e-05,0.0,0.0,47.21497775130467,47.493168217895715,0.002,0.0
444,art,150,0.337802147405264,-7.395902669920864e-05,0.0,0.0,69.84804934329746,70.25477622754434,0.002,0.0
445,art,200,0.3030797838387755,-7.395902669920864e-05,0.0,0.0,83.46773258616928,83.94608970356883,0.002,0.0
446,art,300,0.22277044261186243,-7.395902669920864e-05,0.0,0.0,91.56625467299776,92.0673378526277,0.002,0.0
447,art,400,0.17691845031693684,-7.395902669920864e-05,0.0,0.0,96.18612563553438,96.67868485211676,0.002,0.0
448,outdoors and recreation,10,0.20486812684821387,-7.395902669920864e-05,0.5618693904305001,0.5516891797147392,1.0782220023612852,1.0897016482051955,0.15,0.2639366578576787
449,outdoors and recreation,50,0.565354190050024,-7.395902669920864e-05,0.0,0.0,27.809203386459256,28.105090184964236,0.002,0.0
450,outdoors and recreation,100,0.4004127010666834,-7.395902669920864e-05,0.0,0.0,53.546649875050726,54.11410902582768,0.002,0.0
451,outdoors and recreation,150,0.3892037514258996,-7.395902669920864e-05,0.0,0.0,80.47413892350563,81.32134589945672,0.002,0.0
452,outdoors and recreation,200,0.35111101366721376,-7.395902669920864e-05,0.0,0.0,96.69223646070647,97.70116511821674,0.002,0.0
453,outdoors and recreation,300,0.27400760477126945,-7.395902669920864e-05,0.0,0.0,112.61948735245001,113.76506324342743,0.002,0.0
454,outdoors and recreation,400,0.2319963077620046,-7.395902669920864e-05,0.0,0.0,126.11806303100566,127.35599381254308,0.002,0.0
