,column,knn,I,EI,p_norm,p_rand,z_norm,z_rand,p_sim,p_z_sim
591,Contraflow Bike Lane,2,0.05554290308610982,-7.395902669920864e-05,2.4305002455093927e-12,2.2430945989526663e-12,7.103618484087923,7.1146958233352455,0.002,1.8726575845562365e-11
592,Contraflow Bike Lane,3,0.09015459592325929,-7.395902669920864e-05,0.0,0.0,13.809623266200356,13.83088822378008,0.002,0.0
593,Contraflow Bike Lane,4,0.10768301078162927,-7.395902669920864e-05,0.0,0.0,18.751456737564222,18.779978357689867,0.002,0.0
594,Contraflow Bike Lane,5,0.14142619785816693,-7.395902669920864e-05,0.0,0.0,27.291960750984487,27.332954116858755,0.002,0.0
595,Contraflow Bike Lane,6,0.15231847875909174,-7.395902669920864e-05,0.0,0.0,32.01629483887077,32.06377429872326,0.002,0.0
596,Contraflow Bike Lane,7,0.15348595662158357,-7.395902669920864e-05,0.0,0.0,34.836260551988424,34.887220945269334,0.002,0.0
597,Contraflow Bike Lane,8,0.15431519659349513,-7.395902669920864e-05,0.0,0.0,37.416937469550454,37.47092574316441,0.002,0.0
598,Contraflow Bike Lane,9,0.14720822303159678,-7.395902669920864e-05,0.0,0.0,37.850721195253584,37.90457540735477,0.002,0.0
599,Contraflow Bike Lane,10,0.14155973892204418,-7.395902669920864e-05,0.0,0.0,38.35344870944462,38.407251132378235,0.002,0.0
600,Cycle Track,1,0.1902065262288311,-7.395902669920864e-05,0.0,0.0,18.010325910452757,18.058547342036636,0.002,0.0
601,Cycle Track,2,0.21137443205287082,-7.395902669920864e-05,0.0,0.0,27.00707379457769,27.078836564663348,0.002,0.0
602,Cycle Track,3,0.2183312680710451,-7.395902669920864e-05,0.0,0.0,33.4272659831639,33.51543361039135,0.002,0.0
603,Cycle Track,4,0.22877271788517142,-7.395902669920864e-05,0.0,0.0,39.823025547964264,39.92731040820864,0.002,0.0
604,Cycle Track,5,0.23502271788517146,-7.395902669920864e-05,0.0,0.0,45.34446759791467,45.46234700457382,0.002,0.0
605,Cycle Track,6,0.24629491945477092,-7.395902669920864e-05,0.0,0.0,51.75990860958674,51.89347648792826,0.002,0.0
606,Cycle Track,7,0.24827727621407933,-7.395902669920864e-05,0.0,0.0,56.3404082551844,56.48465868065643,0.002,0.0
607,Cycle Track,8,0.2393659644774887,-7.395902669920864e-05,0.0,0.0,58.02939079160478,58.176802730679185,0.002,0.0
608,Cycle Track,9,0.2246032401670568,-7.395902669920864e-05,0.0,0.0,57.740820422169286,57.886336074514304,0.002,0.0
