,STREETTYPE_CRES_neighbor,crime_mtd_GUN_neighbor,crime_mtd_OTHERS_neighbor,crime_ofn_ASSAULT W/DANGEROUS WEAPON_neighbor,crime_ofn_BURGLARY_neighbor,crime_ofn_ROBBERY_neighbor,crime_ofn_THEFT F/AUTO_neighbor
11120,0.0,16.0,94.0909090909091,13.818181818181818,17.727272727272727,15.545454545454545,28.45454545454545
11121,0.0,3.25,26.75,4.5,1.75,5.375,3.125
11122,0.0,6.833333333333332,22.83333333333333,6.833333333333332,2.833333333333333,11.333333333333336,4.166666666666667
11123,0.0,15.285714285714285,41.285714285714285,17.714285714285715,4.857142857142857,21.428571428571427,4.142857142857143
11124,0.0,5.875,52.1875,6.0625,2.375,6.6875,21.375
11125,0.0,6.071428571428571,52.85714285714285,6.071428571428571,2.142857142857143,6.7857142857142865,22.142857142857146
11126,0.0,5.8,53.1,6.1,2.3,6.3,23.2
11127,0.0,24.5,76.25,23.5,9.0,11.125,15.5
11128,0.0,17.5,206.92857142857144,20.285714285714285,4.214285714285714,33.214285714285715,70.92857142857143
11129,0.0,10.8,120.0,13.2,5.3,19.3,43.3
11130,0.0,7.363636363636362,81.27272727272727,9.090909090909092,5.909090909090909,11.454545454545455,28.272727272727273
11131,0.0,6.8181818181818175,63.54545454545455,8.818181818181818,5.181818181818182,8.0,22.63636363636364
11132,0.0,6.090909090909091,55.81818181818182,8.090909090909092,3.1818181818181817,6.636363636363638,21.363636363636363
11133,0.0,5.846153846153847,54.69230769230769,7.3076923076923075,2.5384615384615383,6.6923076923076925,21.923076923076927
11134,0.0,20.6,130.4,15.0,7.2,24.2,20.4
11135,0.0,21.571428571428577,135.71428571428572,16.142857142857142,8.428571428571429,25.714285714285715,22.714285714285715
11136,0.0,18.0,113.2,13.8,6.8,20.2,18.8
11137,0.0,22.0,133.0,22.0,4.0,25.0,35.0
11138,0.0,15.333333333333336,78.0,16.0,11.0,12.0,16.0
11139,0.0,11.4,83.8,14.6,16.0,8.2,22.6
11140,0.0,16.5,116.75,19.25,26.0,18.75,25.5
11141,0.0,13.5,112.5,17.5,27.0,16.5,21.5
