,column,knn,I,EI,p_norm,p_rand,p_sim,p_z_sim
114,STREETTYPE_PKWY,5,0.1416098574821852,-7.395902669920864e-05,0.0,0.0,0.002,0.0
115,STREETTYPE_PKWY,6,0.12748861836896277,-7.395902669920864e-05,0.0,0.0,0.002,0.0
116,STREETTYPE_PKWY,7,0.12879877841873089,-7.395902669920864e-05,0.0,0.0,0.002,0.0
117,STREETTYPE_PKWY,8,0.11975356294536814,-7.395902669920864e-05,0.0,0.0,0.002,0.0
118,STREETTYPE_PKWY,9,0.11279262338347842,-7.395902669920864e-05,0.0,0.0,0.002,0.0
119,STREETTYPE_PKWY,10,0.11124614014251778,-7.395902669920864e-05,0.0,0.0,0.002,0.0
120,STREETTYPE_PL,1,0.1348487350303671,-7.395902669920864e-05,0.0,0.0,0.002,0.0
121,STREETTYPE_PL,2,0.13726151412076582,-7.395902669920864e-05,0.0,0.0,0.002,0.0
122,STREETTYPE_PL,3,0.14136372142547635,-7.395902669920864e-05,0.0,0.0,0.002,0.0
123,STREETTYPE_PL,4,0.1411295636928047,-7.395902669920864e-05,0.0,0.0,0.002,0.0
124,STREETTYPE_PL,5,0.13601382204862936,-7.395902669920864e-05,0.0,0.0,0.002,0.0
125,STREETTYPE_PL,6,0.12968280439879795,-7.395902669920864e-05,0.0,0.0,0.002,0.0
126,STREETTYPE_PL,7,0.1310622536870019,-7.395902669920864e-05,0.0,0.0,0.002,0.0
127,STREETTYPE_PL,8,0.12959613514024695,-7.395902669920864e-05,0.0,0.0,0.002,0.0
128,STREETTYPE_PL,9,0.1274020045906707,-7.395902669920864e-05,0.0,0.0,0.002,0.0
129,STREETTYPE_PL,10,0.12393233380667748,-7.395902669920864e-05,0.0,0.0,0.002,0.0
130,STREETTYPE_RD,1,0.24098835121786324,-7.395902669920864e-05,0.0,0.0,0.002,0.0
131,STREETTYPE_RD,2,0.2635777285727831,-7.395902669920864e-05,0.0,0.0,0.002,0.0
132,STREETTYPE_RD,3,0.2683604170196029,-7.395902669920864e-05,0.0,0.0,0.002,0.0
133,STREETTYPE_RD,4,0.27757469586644984,-7.395902669920864e-05,0.0,0.0,0.002,0.0
134,STREETTYPE_RD,5,0.27839371304583455,-7.395902669920864e-05,0.0,0.0,0.002,0.0
135,STREETTYPE_RD,6,0.28089913421338947,-7.395902669920864e-05,0.0,0.0,0.002,0.0
136,STREETTYPE_RD,7,0.27477528880508667,-7.395902669920864e-05,0.0,0.0,0.002,0.0
137,STREETTYPE_RD,8,0.2653170415957653,-7.395902669920864e-05,0.0,0.0,0.002,0.0
138,STREETTYPE_RD,9,0.2573442642303802,-7.395902669920864e-05,0.0,0.0,0.002,0.0
139,STREETTYPE_RD,10,0.2507000893862817,-7.395902669920864e-05,0.0,0.0,0.002,0.0
140,STREETTYPE_ST,1,0.16670932428269747,-7.395902669920864e-05,0.0,0.0,0.002,0.0
141,STREETTYPE_ST,2,0.2278224394047826,-7.395902669920864e-05,0.0,0.0,0.002,0.0
142,STREETTYPE_ST,3,0.2517658856473869,-7.395902669920864e-05,0.0,0.0,0.002,0.0
143,STREETTYPE_ST,4,0.26317364147641903,-7.395902669920864e-05,0.0,0.0,0.002,0.0
144,STREETTYPE_ST,5,0.2641331335453611,-7.395902669920864e-05,0.0,0.0,0.002,0.0
145,STREETTYPE_ST,6,0.26446219403965887,-7.395902669920864e-05,0.0,0.0,0.002,0.0
146,STREETTYPE_ST,7,0.26155547357844944,-7.395902669920864e-05,0.0,0.0,0.002,0.0
147,STREETTYPE_ST,8,0.2562895572180331,-7.395902669920864e-05,0.0,0.0,0.002,0.0
148,STREETTYPE_ST,9,0.25134750215139434,-7.395902669920864e-05,0.0,0.0,0.002,0.0
149,STREETTYPE_ST,10,0.24707445167591527,-7.395902669920864e-05,0.0,0.0,0.002,0.0
150,STREETTYPE_TER,1,0.16158273123122863,-7.395902669920864e-05,0.0,0.0,0.002,0.0
151,STREETTYPE_TER,2,0.16665335414716814,-7.395902669920864e-05,0.0,0.0,0.002,0.0
152,STREETTYPE_TER,3,0.16488848063829092,-7.395902669920864e-05,0.0,0.0,0.002,0.0
153,STREETTYPE_TER,4,0.16231072346597808,-7.395902669920864e-05,0.0,0.0,0.002,0.0
154,STREETTYPE_TER,5,0.16680135463567977,-7.395902669920864e-05,0.0,0.0,0.002,0.0
155,STREETTYPE_TER,6,0.15709920971867944,-7.395902669920864e-05,0.0,0.0,0.002,0.0
156,STREETTYPE_TER,7,0.15111652762525574,-7.395902669920864e-05,0.0,0.0,0.002,0.0
157,STREETTYPE_TER,8,0.14366653990832884,-7.395902669920864e-05,0.0,0.0,0.002,0.0
158,STREETTYPE_TER,9,0.1414086690741104,-7.395902669920864e-05,0.0,0.0,0.002,0.0
159,STREETTYPE_TER,10,0.13422081533972685,-7.395902669920864e-05,0.0,0.0,0.002,0.0
160,STREETTYPE_WAY,1,0.24851829900726036,-7.395902669920864e-05,0.0,0.0,0.002,0.0
161,STREETTYPE_WAY,2,0.22761088062429,-7.395902669920864e-05,0.0,0.0,0.002,0.0
162,STREETTYPE_WAY,3,0.2485923840568973,-7.395902669920864e-05,0.0,0.0,0.002,0.0
163,STREETTYPE_WAY,4,0.2694627599150491,-7.395902669920864e-05,0.0,0.0,0.002,0.0
164,STREETTYPE_WAY,5,0.26533313577320095,-7.395902669920864e-05,0.0,0.0,0.002,0.0
165,STREETTYPE_WAY,6,0.2417220246620898,-7.395902669920864e-05,0.0,0.0,0.002,0.0
166,STREETTYPE_WAY,7,0.24859238405689726,-7.395902669920864e-05,0.0,0.0,0.002,0.0
167,STREETTYPE_WAY,8,0.2278331357732009,-7.395902669920864e-05,0.0,0.0,0.002,0.0
168,STREETTYPE_WAY,9,0.207040960800777,-7.395902669920864e-05,0.0,0.0,0.002,0.0
169,STREETTYPE_WAY,10,0.198673877611498,-7.395902669920864e-05,0.0,0.0,0.002,0.0
170,SEGMENTTYPE_1,1,-0.0002218770800976261,-7.395902669920864e-05,1.9776589092128527,1.9776586300456145,0.04,0.02218280513375291
171,SEGMENTTYPE_1,2,-0.00011093854004881299,-7.395902669920864e-05,1.9924629259846662,1.9924629833742107,0.262,0.35367547218186124
172,SEGMENTTYPE_1,3,-7.395902669920867e-05,-7.395902669920864e-05,2.0,2.0,0.78,0.9542072039970606
173,SEGMENTTYPE_1,4,-5.5469270024406515e-05,-7.395902669920864e-05,1.994865594727961,1.99486582991319,0.35,0.45871177914995953
174,SEGMENTTYPE_1,5,-7.395902669920861e-05,-7.395902669920864e-05,2.0,2.0,0.728,0.9754646067931656
175,SEGMENTTYPE_1,6,-7.395902669920863e-05,-7.395902669920864e-05,2.0,2.0,0.718,0.9942421140366536
176,SEGMENTTYPE_1,7,-7.395902669920865e-05,-7.395902669920864e-05,2.0,2.0,0.926,0.9406778323395769
177,SEGMENTTYPE_1,8,-8.320390503660972e-05,-7.395902669920864e-05,1.99642461889919,1.9964250607800385,0.642,0.6028178776454107
178,SEGMENTTYPE_1,9,-8.217669633245403e-05,-7.395902669920864e-05,1.9966299033110269,1.9966303871592632,0.698,0.622036171815668
179,SEGMENTTYPE_1,10,-8.135492936912957e-05,-7.395902669920864e-05,1.996804058795286,1.996804581253355,0.652,0.6667803246909633
180,SEGMENTTYPE_2,1,0.4999128727215403,-7.395902669920864e-05,0.0,0.0,0.002,0.0
181,SEGMENTTYPE_2,2,0.4624189919878731,-7.395902669920864e-05,0.0,0.0,0.002,0.0
182,SEGMENTTYPE_2,3,0.43936858834157744,-7.395902669920864e-05,0.0,0.0,0.002,0.0
183,SEGMENTTYPE_2,4,0.41610791210144155,-7.395902669920864e-05,0.0,0.0,0.002,0.0
184,SEGMENTTYPE_2,5,0.402016076367141,-7.395902669920864e-05,0.0,0.0,0.002,0.0
185,SEGMENTTYPE_2,6,0.39443490658598623,-7.395902669920864e-05,0.0,0.0,0.002,0.0
186,SEGMENTTYPE_2,7,0.3787751993842044,-7.395902669920864e-05,0.0,0.0,0.002,0.0
187,SEGMENTTYPE_2,8,0.3695197348985627,-7.395902669920864e-05,0.0,0.0,0.002,0.0
188,SEGMENTTYPE_2,9,0.3561767124328255,-7.395902669920864e-05,0.0,0.0,0.002,0.0
189,SEGMENTTYPE_2,10,0.34950373279317687,-7.395902669920864e-05,0.0,0.0,0.002,0.0
190,SEGMENTTYPE_3,1,-0.00014791805339841734,-7.395902669920864e-05,1.9888291809033833,1.9888290413095033,0.496,0.25264502269385536
191,SEGMENTTYPE_3,2,-7.395902669920861e-05,-7.395902669920864e-05,2.0,2.0,0.712,0.9433855649508354
192,SEGMENTTYPE_3,3,-7.395902669920867e-05,-7.395902669920864e-05,2.0,2.0,0.794,0.9834118731500237
193,SEGMENTTYPE_3,4,-5.5469270024406515e-05,-7.395902669920864e-05,1.994865594727961,1.99486582991319,0.324,0.4391298763593925
194,SEGMENTTYPE_3,5,-7.395902669920861e-05,-7.395902669920864e-05,2.0,2.0,0.73,0.9920573906387727
195,SEGMENTTYPE_3,6,-7.395902669920863e-05,-7.395902669920864e-05,2.0,2.0,0.718,0.9876006597676202
196,SEGMENTTYPE_3,7,-8.452460194195276e-05,-7.395902669920864e-05,1.9961751319829963,1.9961755286763248,0.622,0.5372997303555451
197,SEGMENTTYPE_3,8,-7.395902669920861e-05,-7.395902669920864e-05,2.0,2.0,0.862,0.9453867930759899
198,SEGMENTTYPE_3,9,-9.039436596569942e-05,-7.395902669920864e-05,1.9932598216530055,1.9932607893430054,0.39,0.37041811886939846
199,SEGMENTTYPE_3,10,-8.135492936912957e-05,-7.395902669920864e-05,1.996804058795286,1.996804581253355,0.66,0.6882903248585766
200,elevation_diff,1,0.4082222351022776,-7.395902669920864e-05,0.0,0.0,0.002,0.0
201,elevation_diff,2,0.35773042586217274,-7.395902669920864e-05,0.0,0.0,0.002,0.0
202,elevation_diff,3,0.3189576759201901,-7.395902669920864e-05,0.0,0.0,0.002,0.0
203,elevation_diff,4,0.29446744979023853,-7.395902669920864e-05,0.0,0.0,0.002,0.0
204,elevation_diff,5,0.2769928841458166,-7.395902669920864e-05,0.0,0.0,0.002,0.0
205,elevation_diff,6,0.26731063929667415,-7.395902669920864e-05,0.0,0.0,0.002,0.0
206,elevation_diff,7,0.2593519187242331,-7.395902669920864e-05,0.0,0.0,0.002,0.0
207,elevation_diff,8,0.2514956411657382,-7.395902669920864e-05,0.0,0.0,0.002,0.0
208,elevation_diff,9,0.2451100657424331,-7.395902669920864e-05,0.0,0.0,0.002,0.0
209,elevation_diff,10,0.24015970848046614,-7.395902669920864e-05,0.0,0.0,0.002,0.0
210,d_auth_score_SgAsNd,1,0.5475436715741152,-7.395902669920864e-05,0.0,0.0,0.002,0.0
211,d_auth_score_SgAsNd,2,0.5827431171780253,-7.395902669920864e-05,0.0,0.0,0.002,0.0
212,d_auth_score_SgAsNd,3,0.6384298342140162,-7.395902669920864e-05,0.0,0.0,0.002,0.0
213,d_auth_score_SgAsNd,4,0.5969566714814146,-7.395902669920864e-05,0.0,0.0,0.002,0.0
214,d_auth_score_SgAsNd,5,0.576458450425798,-7.395902669920864e-05,0.0,0.0,0.002,0.0
215,d_auth_score_SgAsNd,6,0.5631694119198775,-7.395902669920864e-05,0.0,0.0,0.002,0.0
216,d_auth_score_SgAsNd,7,0.5471120901092136,-7.395902669920864e-05,0.0,0.0,0.002,0.0
217,d_auth_score_SgAsNd,8,0.5091670373452404,-7.395902669920864e-05,0.0,0.0,0.002,0.0
218,d_auth_score_SgAsNd,9,0.5029004223961451,-7.395902669920864e-05,0.0,0.0,0.002,0.0
219,d_auth_score_SgAsNd,10,0.47565831713459933,-7.395902669920864e-05,0.0,0.0,0.002,0.0
220,d_btw_cntr_SgAsNd,1,0.24675384276732695,-7.395902669920864e-05,0.0,0.0,0.002,0.0
221,d_btw_cntr_SgAsNd,2,0.21574188618761128,-7.395902669920864e-05,0.0,0.0,0.002,0.0
222,d_btw_cntr_SgAsNd,3,0.21789361754157782,-7.395902669920864e-05,0.0,0.0,0.002,0.0
223,d_btw_cntr_SgAsNd,4,0.2225513996760699,-7.395902669920864e-05,0.0,0.0,0.002,0.0
224,d_btw_cntr_SgAsNd,5,0.21797927843929174,-7.395902669920864e-05,0.0,0.0,0.002,0.0
225,d_btw_cntr_SgAsNd,6,0.21588276378244453,-7.395902669920864e-05,0.0,0.0,0.002,0.0
226,d_btw_cntr_SgAsNd,7,0.22258543458246594,-7.395902669920864e-05,0.0,0.0,0.002,0.0
227,d_btw_cntr_SgAsNd,8,0.2097188099324782,-7.395902669920864e-05,0.0,0.0,0.002,0.0
228,d_btw_cntr_SgAsNd,9,0.2002841507006377,-7.395902669920864e-05,0.0,0.0,0.002,0.0
