column,,column,db_nb,I,p_norm,p_rand,z_norm,z_rand,ftr_type
outdoors and recreation,449,outdoors and recreation,50,0.5667459896553013,0.0,0.0,27.709330042632693,28.00415697399475,poi
v0rq_Long wait to cross,1170,v0rq_Long wait to cross,50,0.5606298931096715,0.0,0.0,27.410341028308956,27.630619924398484,v0
retail shop,457,retail shop,100,0.5525287329727673,0.0,0.0,72.75606978573781,73.07594234822136,poi
311_BICYCLES,619,311_BICYCLES,150,0.5437517768931698,0.0,0.0,107.61348011288574,108.08413674255013,311
side_walk_both,359,side_walk_both,100,0.5405796213714067,0.0,0.0,71.18284111687169,89.83651282246949,bk_osm
311_STREETLIGHT REPAIR,1008,311_STREETLIGHT REPAIR,10,0.5352509268855847,0.00975880939501339,0.007067634993310534,2.8148892450426057,2.9170300285978543,311
DIRECTIONALITY_one-way,14,DIRECTIONALITY_one-way,10,0.5331122730722313,0.010105745090580154,0.0032357392080748504,2.8036436000585905,3.1526657182538638,seg_attr
311_PARKING METER REQUES,752,311_PARKING METER REQUES,150,0.5182674150106368,0.0,0.0,102.57057631209973,103.04679332482537,311
311_S0499,891,311_S0499,100,0.5152574441837899,0.0,0.0,67.8489049684194,67.8532205566894,311
cycle_lane_right,330,cycle_lane_right,50,0.514415845296202,0.0,0.0,25.151139836736466,25.17716411033399,bk_osm
311_MARKING INSTALLATION,715,311_MARKING INSTALLATION,50,0.5086757848527689,0.0,0.0,24.870533570740378,25.031843003537897,311
bikable_yes,393,bikable_yes,50,0.4977327621015129,0.0,0.0,24.335577400295673,25.306788724098432,bk_osm
transportation,507,transportation,150,0.4929789533140647,0.0,0.0,97.56643768804884,98.00002678788205,poi
v0rq_Stop sign running,1227,v0rq_Stop sign running,100,0.47115716936451185,0.0,0.0,62.042630915153104,62.606973489070946,v0
v0rq_Long distance to cross,1163,v0rq_Long distance to cross,50,0.46951074945640126,0.0,0.0,22.95592754028434,23.008691277213558,v0
311_S0306,863,311_S0306,100,0.4681891460547728,0.0,0.0,61.651858821250094,61.65806305176816,311
v0rq_Speeding,1218,v0rq_Speeding,10,0.4604412043798517,0.03091161815573118,0.029709220553961302,2.421518623112441,2.4359043897227908,v0
311_SIDEWALK REPAIR,926,311_SIDEWALK REPAIR,100,0.4536025784111207,0.0,0.0,59.73138078380876,60.049640521736755,311
