,STREETTYPE_CRES_neighbor,ud_far_cntr_SgAsNd_neighbor,ud_node_ecc_SgAsNd_neighbor,poi_total_neighbor,crime_total_neighbor
47,0.0,33.446754244211114,69.1111111111111,3.111111111111111,151.33333333333334
48,0.0,33.31338003605715,69.0,3.4285714285714284,151.42857142857142
49,0.0,32.95578259805,69.16666666666667,5.833333333333332,132.83333333333334
50,0.0,31.888172830044446,68.33333333333333,5.111111111111111,64.22222222222223
51,0.0,35.56084186660001,76.33333333333333,3.0,73.0
52,0.0,32.406095007685714,60.14285714285714,21.571428571428577,1.5714285714285714
53,0.0,33.185792583399994,60.25,26.125,8.125
54,0.0,33.84502151252143,60.92857142857143,23.142857142857146,12.5
55,0.0,34.02140721131429,61.0,20.928571428571427,15.214285714285715
56,0.0,34.05713867546875,60.75,20.0625,24.875
57,0.0,34.0962621113,60.73333333333333,18.0,28.466666666666665
58,0.0,33.86394097707777,59.77777777777778,18.88888888888889,102.44444444444444
59,0.0,34.299011722466666,59.33333333333334,19.11111111111111,114.44444444444444
60,0.0,34.122584911016666,58.91666666666666,25.25,123.16666666666669
61,0.0,33.28425887297,58.4,28.6,94.5
62,0.0,32.1304477534,57.5,7.5,178.75
63,0.0,31.543934778750003,59.2,9.6,153.1
64,0.0,31.406611127109088,59.54545454545455,11.181818181818182,174.27272727272728
65,0.0,31.289098700580002,59.8,13.8,214.9
66,0.0,31.35063943778,59.8,17.0,240.6
67,0.0,31.310885127979997,59.2,14.8,232.0
68,0.0,31.33454135973333,59.16666666666666,10.166666666666666,225.16666666666663
69,0.0,31.587253909671432,60.42857142857143,9.857142857142858,220.28571428571428
70,0.0,31.771959638725,61.5,11.375,193.25
71,0.0,31.931722456212498,62.625,11.125,193.125
72,0.0,31.957562798688887,63.0,10.444444444444443,191.66666666666663
73,0.0,32.05471909165714,64.14285714285714,7.142857142857142,203.57142857142856
74,0.0,32.89950346067273,65.9090909090909,17.272727272727273,191.0
75,0.0,33.30354535088182,66.72727272727273,21.272727272727273,196.72727272727272
76,0.0,33.444978176772736,67.27272727272727,21.818181818181817,192.27272727272728
77,0.0,33.678712689945456,67.72727272727273,25.09090909090909,197.63636363636363
78,0.0,33.670793641711114,68.1111111111111,21.88888888888889,199.22222222222226
79,0.0,33.4655192426,68.42857142857143,8.428571428571429,187.0
80,0.0,32.69373336021429,67.42857142857143,8.285714285714286,170.28571428571428
81,0.0,32.15333312252857,67.28571428571429,9.571428571428571,158.0
82,0.0,31.918941554133333,68.0,11.0,129.66666666666666
83,0.0,31.75258323616667,68.33333333333333,12.333333333333336,111.66666666666669
84,,,,,
85,,,,,
86,0.0,39.0655409684,82.66666666666667,3.0,86.0
87,0.0,46.262803155254545,99.0,7.363636363636362,48.36363636363637
88,0.0,46.58372010242941,99.17647058823529,7.352941176470589,43.88235294117647
89,0.0,38.86599591387857,82.71428571428571,3.3571428571428568,63.5
90,0.0,40.381265303795,89.35,5.05,60.95
91,0.0,40.63905039398499,89.55,3.8,56.5
92,0.0,40.97641276192221,89.8888888888889,3.5,50.27777777777778
93,0.0,41.89036920240714,91.07142857142857,2.7142857142857144,38.642857142857146
94,0.0,42.87149728918889,92.77777777777777,1.6666666666666667,41.77777777777778
95,0.0,31.577615924566675,62.0,38.66666666666666,7.666666666666668
96,0.0,31.9707866898,62.75,38.0,7.5
97,0.0,33.37007499875,60.83333333333334,36.833333333333336,82.83333333333333
98,0.0,33.611031233175,60.75,32.125,93.125
99,0.0,33.7967227853875,60.75,22.25,122.0
100,0.0,33.31522433989091,59.63636363636363,22.181818181818183,267.54545454545456
101,0.0,32.94816030858,59.3,27.0,383.7
102,0.0,32.5358314491,59.2,25.7,448.5
103,0.0,31.58425150991429,59.57142857142857,27.0,493.4285714285714
104,0.0,31.142617537479996,60.2,27.6,511.2
105,0.0,39.30116838376999,84.9,3.0,72.3
106,0.0,38.94324639057,84.8,5.1,68.5
107,0.0,38.797268446589996,85.1,5.3,72.8
108,0.0,38.88557600034999,85.9,4.9,83.6
109,0.0,38.73978412061428,87.2857142857143,9.142857142857142,107.57142857142857
110,0.0,39.69858567692143,88.7857142857143,6.2857142857142865,77.57142857142857
111,0.0,40.400685393968416,89.84210526315788,4.368421052631579,61.05263157894736
112,0.0,40.90098769481176,90.35294117647058,3.7647058823529416,54.11764705882353
113,0.0,41.32265135584666,90.93333333333334,3.6,48.66666666666666
114,0.0,42.008240302309105,91.9090909090909,2.727272727272727,47.72727272727273
115,0.0,42.85033248538889,93.11111111111113,1.4444444444444444,44.555555555555564
116,0.0,43.071362435255566,94.0,1.6666666666666667,48.33333333333334
117,0.0,43.01180779251428,94.42857142857143,1.8571428571428568,45.714285714285715
118,0.0,43.00674564788333,95.16666666666669,2.1666666666666665,45.33333333333334
119,0.0,42.91699257255,95.5,2.833333333333333,48.5
120,0.0,42.751112806079995,95.6,4.0,75.0
121,0.0,45.417952087600014,98.2,7.4,100.2
122,0.0,45.21852931390001,98.0,8.333333333333334,100.5
123,0.0,45.393693966324996,98.375,17.125,103.0
124,0.0,46.07879554074444,99.11111111111113,26.444444444444446,117.44444444444444
125,0.0,46.060714187377776,99.33333333333331,29.11111111111111,123.44444444444444
