,STREETTYPE_CRES_neighbor,crime_total_neighbor
126,0.0,120.875
127,0.0,150.5
128,0.0,163.33333333333334
129,0.0,311.57142857142856
130,0.0,361.21428571428567
131,0.0,363.3846153846154
132,0.0,360.9285714285714
133,0.0,360.41666666666674
134,0.0,356.45454545454544
135,0.0,360.27272727272725
136,0.0,313.8181818181818
137,0.0,296.0
138,0.0,240.875
139,0.0,190.85714285714286
140,0.0,201.625
141,0.0,260.0
142,0.0,182.7142857142857
143,0.0,167.5
144,0.0,181.27272727272728
145,0.0,133.76923076923077
146,0.0,132.61538461538458
147,0.0,154.9230769230769
148,0.0,199.66666666666663
149,0.0,218.8125
150,0.0,214.52941176470588
151,0.0,216.375
152,0.0,176.13333333333333
153,0.0,160.2
154,0.0,148.42857142857142
155,0.0,146.0
156,0.0,147.9090909090909
157,0.0,144.0
158,0.0,104.0
159,0.0,91.0
160,,
161,0.0,31.461538461538463
162,0.0,37.23529411764706
163,0.0,39.631578947368425
164,0.0,53.375
165,0.0,61.41666666666666
166,0.0,60.111111111111114
167,0.0,54.4
168,0.0,44.33333333333334
169,0.0,41.72727272727273
170,0.0,43.83333333333334
171,0.0,51.81818181818182
172,0.0,60.45454545454545
173,0.0,83.2
174,0.0,91.25
175,0.0,82.0
176,0.0,66.05882352941177
177,0.0,29.66666666666667
178,0.0,27.66666666666667
179,0.0,7.0
180,0.0,7.7142857142857135
181,0.0,95.14285714285714
182,0.0,181.14285714285717
183,0.0,45.0
184,0.0,59.0
185,0.0,76.83333333333333
186,0.0,88.5
187,0.0,254.0909090909091
188,0.0,356.6
189,0.0,351.33333333333326
190,0.0,160.4375
191,0.0,148.0909090909091
192,0.0,165.0
193,0.0,123.0909090909091
194,0.0,153.0
195,0.0,186.1
196,0.0,197.625
197,0.0,200.25
198,0.0,205.27777777777774
199,0.0,206.3125
200,0.0,168.75
201,0.0,139.71428571428572
202,0.0,148.33333333333334
203,0.0,37.0
204,0.0,46.92857142857143
205,0.0,64.9090909090909
206,0.0,71.75
207,0.0,74.625
208,0.0,62.66666666666666
209,0.0,65.63636363636364
210,0.0,74.53846153846153
211,0.0,84.77777777777777
212,0.0,87.7142857142857
213,0.0,81.14285714285714
214,0.0,71.71428571428571
215,0.0,73.1
216,0.0,79.15384615384616
217,0.0,81.27272727272727
218,0.0,79.66666666666667
219,0.0,77.625
220,0.0,70.63157894736842
221,0.0,57.42105263157895
222,0.0,54.375
223,0.0,35.5
224,0.0,40.375
225,0.0,35.25
226,0.0,36.333333333333336
227,0.0,43.83333333333334
228,0.0,53.14285714285714
229,0.0,49.83333333333334
230,0.0,36.2
231,0.0,49.714285714285715
232,0.0,237.55555555555557
233,0.0,55.7
234,0.0,47.93333333333333
235,0.0,37.333333333333336
236,0.0,100.5
237,0.0,94.4
238,0.0,74.77777777777777
239,0.0,62.0
240,0.0,48.375
241,0.0,73.125
242,0.0,83.9090909090909
243,0.0,78.9090909090909
244,0.0,22.0
245,0.0,29.66666666666667
246,0.0,104.0
247,0.0,204.83333333333331
248,0.0,254.42857142857144
249,0.0,382.71428571428567
250,0.0,427.22222222222223
251,0.0,528.6666666666666
252,0.0,752.0
253,0.0,716.6666666666665
254,0.0,509.875
255,0.0,439.75
256,0.0,439.5
257,0.0,363.1428571428572
258,0.0,305.25
259,0.0,304.0
260,0.0,338.3333333333333
261,0.0,326.3333333333333
262,0.0,374.0
263,0.0,321.85714285714283
264,0.0,333.3076923076923
265,0.0,314.0
266,0.0,531.6
267,0.0,536.2142857142857
268,0.0,148.57142857142858
269,0.0,211.57142857142856
270,0.0,254.4
271,0.0,244.08333333333331
272,0.0,264.6
273,0.0,272.1
274,0.0,302.4705882352941
275,0.0,288.5
276,0.0,240.0
277,0.0,188.08333333333331
278,0.0,161.9230769230769
279,0.0,138.5
280,0.0,134.125
281,0.0,269.8
282,0.0,313.2857142857143
283,0.0,252.11111111111111
284,0.0,53.111111111111114
285,0.0,58.22222222222222
286,0.0,68.0
287,0.0,62.375
288,0.0,51.0
289,0.0,47.875
290,0.0,43.411764705882355
291,0.0,46.92857142857143
292,0.0,60.5
293,0.0,61.33333333333334
294,0.0,71.57142857142857
295,0.0,84.5
296,0.0,89.5
297,0.0,91.23076923076924
298,0.0,90.07692307692308
299,0.0,81.8888888888889
300,0.0,81.71428571428571
301,0.0,89.0
302,0.0,119.0
