,STREETTYPE_CRES_neighbor,ud_far_cntr_SgAsNd_neighbor,ud_node_ecc_SgAsNd_neighbor,cycling facilities_neighbor,crime_mtd_GUN_neighbor,crime_mtd_KNIFE_neighbor,crime_mtd_OTHERS_neighbor,crime_ofn_ASSAULT W/DANGEROUS WEAPON_neighbor,crime_ofn_BURGLARY_neighbor,crime_ofn_MOTOR VEHICLE THEFT_neighbor,crime_ofn_ROBBERY_neighbor,crime_ofn_SEX ABUSE_neighbor,crime_ofn_THEFT F/AUTO_neighbor,crime_ofn_THEFT/OTHER_neighbor
42,0.0,34.4531832165,69.3125,1.375,11.0625,2.1875,130.25,4.9375,15.1875,13.3125,21.3125,0.9375,32.0625,55.5
43,0.0,34.56948048324001,69.8,1.3,11.5,3.7,136.9,7.0,18.5,14.7,19.1,1.4,30.0,60.9
44,0.0,34.30623634027273,69.54545454545455,1.4545454545454546,12.545454545454545,5.2727272727272725,147.72727272727272,8.909090909090908,23.0,16.363636363636363,18.90909090909091,2.0,31.272727272727273,64.36363636363636
45,0.0,34.060082137260004,69.4,1.7,13.0,7.9,153.2,12.4,25.1,17.0,18.0,2.3,32.9,65.4
46,0.0,33.69963007018889,69.1111111111111,1.6666666666666667,12.666666666666664,8.666666666666666,145.55555555555554,13.666666666666664,25.444444444444446,15.444444444444445,15.111111111111109,2.2222222222222223,32.22222222222222,61.88888888888889
47,0.0,33.446754244211114,69.1111111111111,1.3333333333333333,11.777777777777779,8.222222222222221,131.33333333333334,12.777777777777779,24.0,11.888888888888891,13.111111111111109,2.2222222222222223,30.11111111111111,56.66666666666666
48,0.0,33.31338003605715,69.0,1.2857142857142858,12.142857142857142,9.857142857142858,129.42857142857142,15.0,23.714285714285715,11.428571428571427,13.142857142857142,2.2857142857142856,29.285714285714285,56.0
49,0.0,32.95578259805,69.16666666666667,2.1666666666666665,11.666666666666664,6.833333333333332,114.33333333333331,10.333333333333334,21.0,9.0,12.666666666666664,2.1666666666666665,29.16666666666667,48.16666666666666
50,0.0,31.888172830044446,68.33333333333333,1.3333333333333333,4.4444444444444455,3.2222222222222223,56.555555555555564,7.5555555555555545,2.888888888888889,4.111111111111111,5.777777777777778,0.3333333333333333,24.555555555555557,19.0
51,0.0,35.56084186660001,76.33333333333333,0.6666666666666666,4.333333333333333,3.5,65.16666666666667,7.0,3.1666666666666665,5.5,6.833333333333332,0.3333333333333333,32.833333333333336,17.333333333333332
52,0.0,32.406095007685714,60.14285714285714,16.714285714285715,0.0,0.0,1.5714285714285714,0.0,0.0,1.0,0.0,0.0,0.5714285714285714,0.0
53,0.0,33.185792583399994,60.25,19.5,0.625,0.0,7.5,0.625,0.625,0.75,0.0,0.0,1.625,4.5
54,0.0,33.84502151252143,60.92857142857143,17.357142857142858,0.5,0.42857142857142855,11.571428571428573,1.5,0.7142857142857143,0.35714285714285715,0.0,0.0,3.0,6.928571428571429
55,0.0,34.02140721131429,61.0,15.571428571428573,0.35714285714285715,0.7857142857142857,14.071428571428573,1.7857142857142858,0.5,0.21428571428571427,0.2857142857142857,0.14285714285714285,3.5,8.785714285714286
56,0.0,34.05713867546875,60.75,15.1875,0.3125,1.8125,22.75,2.6875,0.375,0.0625,1.375,0.5625,5.1875,14.625
57,0.0,34.0962621113,60.73333333333333,13.4,0.3333333333333333,2.4,25.73333333333333,3.466666666666667,0.3333333333333333,0.0,2.066666666666667,0.6666666666666666,5.666666666666668,16.266666666666666
58,0.0,33.86394097707777,59.77777777777778,10.555555555555557,1.6666666666666667,9.222222222222221,91.55555555555556,12.333333333333336,2.6666666666666665,1.0,11.0,2.333333333333333,15.444444444444445,57.555555555555564
59,0.0,34.299011722466666,59.33333333333334,13.444444444444445,2.1111111111111107,9.111111111111109,103.22222222222223,14.333333333333336,2.7777777777777777,1.7777777777777777,13.333333333333336,1.2222222222222223,15.555555555555555,64.8888888888889
60,0.0,34.122584911016666,58.91666666666666,17.166666666666668,1.75,8.083333333333334,113.33333333333331,13.25,2.333333333333333,6.916666666666668,13.666666666666664,1.1666666666666667,16.666666666666668,68.25
61,0.0,33.28425887297,58.4,21.0,1.2,3.4,89.9,6.0,0.3,4.8,8.1,0.7,12.3,61.3
62,0.0,32.1304477534,57.5,3.25,7.75,7.875,163.125,13.125,6.375,14.625,17.875,0.0,62.5,63.625
63,0.0,31.543934778750003,59.2,4.6,12.3,7.1,133.7,16.0,7.6,11.5,21.3,1.8,50.7,43.3
64,0.0,31.406611127109088,59.54545454545455,5.727272727272728,13.090909090909092,7.090909090909091,154.0909090909091,15.545454545454545,9.272727272727273,12.090909090909092,25.09090909090909,1.7272727272727273,58.72727272727273,50.90909090909091
65,0.0,31.289098700580002,59.8,7.4,15.7,9.6,189.6,19.2,13.0,14.9,29.7,1.8,72.7,62.7
